wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
<<<<<<< HEAD
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-04-05 22:47:07,2010-04-05 22:47:07,246bf97d96de2ecee4577d3873a6f7d6e683bb57f071597e9b220ec21fbc3a80,2030.0,2030.0,0.0,49099,49099,2025-06-19 17:08:07.629481,,0.0,buy,100.0,2010-04-05
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-04-06 10:06:40,2010-04-06 10:06:40,9d47ebfb5dcb9784ce4657b24f67f60d4e1402211dbe6c4782dde87d13aab1e3,2000.0,4030.0,0.0,49174,49174,2025-06-19 17:08:07.629481,,0.0,buy,49.62779156327544,2010-04-06
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-04-07 04:32:14,2010-04-07 14:30:11,"6e08ebf4f39530fa92a607b2cd3bab512a55e94b0dba5af20945a97be0e8c8c0,b1ccc290ece8c6e6162f8dbc9c95600e2a0a4f1c6bf806cbd4560fbbbff74c2f",4000.0,8030.0,0.0,49297,49387,2025-06-19 17:08:07.629481,,0.0,buy,49.813200498132005,2010-04-07
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-04-11 16:57:23,2010-04-11 16:57:23,"f0d75cca4d5ccd9d0f762a47965afb19d7484f0e597b2de93d3e11e3432698b5,aee0d7f914043f7ac7bb3602feb5a5239c92842d9c366017838acda16df45a26",4620.0,10037.0,0.0,50248,50248,2025-06-19 17:08:07.629481,,0.0,buy,46.02969014645811,2010-04-11
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-04-30 02:24:13,2010-04-30 02:24:13,13bdabec89277c9de9d502563ef657224ec4cd17c4f1e9e138232c39743a40b9,6000.0,18650.0,0.0,53746,53746,2025-06-19 17:08:07.629481,,0.0,buy,32.171581769437,2010-04-30
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-05-06 13:17:44,2010-05-06 13:17:44,c45b7f5e1df215c8db49a93402c82e1d2c20871dc16aee97e9747e7f0ffaed01,3500.0,22150.0,0.0,54722,54722,2025-06-19 17:08:07.629481,,0.0,buy,15.80135440180587,2010-05-06
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2010-05-12 12:56:29,2010-05-12 12:56:29,c3db242786d97fbeabb739e642f24f79beaad16014956738027617ad754ae366,6000.0,28150.0,0.0,55537,55537,2025-06-19 17:08:07.629481,,0.0,buy,21.314387211367674,2010-05-12
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2012-07-15 20:36:59,2012-07-15 20:36:59,23f32af6da39992bf2853d0c83bb6a69f3167dc0023a0d28f9963fe6defbfa9b,0.031337,28150.031337,0.0,189227,189227,2025-06-19 17:08:07.629481,7.6,0.23816119999999996,buy,0.00011132136808249691,2012-07-15
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,11.0,2012-10-23 03:35:41,2012-10-23 03:35:41,55f48659d94ad503c31d4daa6dc21b1b3273cf1036572be604f437ad7a240d04,0.009763,28150.0411,0.00411,204560,204560,2025-06-19 17:08:07.629481,11.6,0.11325080000000001,buy,3.4682009753797485e-05,2012-10-23
