wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2011-05-04 01:40:51,2011-05-04 01:40:51,2eb1db9f99d0649bb2cff6afea5d99cdfeefa72907c085cc780bbc42faca42c3,10000.0,10000.0,0.0,121716,121716,2025-07-16 17:58:17.564765,,0.0,buy,100.0,2011-05-04
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2013-10-12 16:14:31,2013-10-12 16:14:31,d83baf556a1e74f7c11893877c4bef98602e683a7fd4840f5230fd30f7eaf334,1e-08,10000.00000001,0.0001,263156,263156,2025-07-16 17:58:17.564765,126.5,1.265e-06,buy,9.999999999989999e-11,2013-10-12
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2013-11-25 05:30:44,2013-11-25 05:30:44,886e8fe3e890d7e8f07e713a2ea6bec94a0a7c83b1bc416a6cf6eb19a185af9b,0.0001,10000.00010001,0.0001,271380,271380,2025-07-16 17:58:17.564765,782.8,0.07828,buy,9.999999899990002e-07,2013-11-25
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2013-12-02 10:42:30,2013-12-02 10:42:30,48801d2cb899cce03cb6cd0c322ba80d8ad5c68c1874d655b9aa6bbc055402f7,0.0001,10000.00020001,0.0004,272647,272647,2025-07-16 17:58:17.564765,998.1,0.09981000000000001,buy,9.999999799990004e-07,2013-12-02
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2013-12-25 21:26:40,2013-12-25 21:26:40,10083f6a5217c26f955c0bf5e213308ee30d16b76def67bfebfcca621e02031b,0.000269,10000.00046901,0.0005,276944,276944,2025-07-16 17:58:17.564765,,0.0,buy,2.689999873836316e-06,2013-12-25
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2014-02-06 19:08:17,2014-02-06 19:08:17,fd405eead945e3a9c5eca6da743f4d3c1387383adddc670ef2bd0e5c1fcd56fe,0.00777,10000.00823901,0.0001,284500,284500,2025-07-16 17:58:17.564765,771.6,5.995332,buy,7.769993598294504e-05,2014-02-06
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2014-03-27 10:40:24,2014-03-27 10:40:24,67d4130428a1416ad489adeb35433152b1cacb8f325d52c954a58e0c166a8667,5.5e-05,10000.00829401,0.0001,292697,292697,2025-07-16 17:58:17.564765,498.5,0.0274175,buy,5.499995438298284e-07,2014-03-27
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2014-07-29 18:39:12,2014-07-29 18:39:12,9cc3b6c6bf3f9c445d461eca8b090d70ad4934c1cff9c9b72ccad7693137c4e4,0.0001,10000.00839401,0.0002,313042,313042,2025-07-16 17:58:17.564765,575.0,0.0575,buy,9.999991605997047e-07,2014-07-29
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2014-08-30 13:20:52,2014-08-30 13:20:52,e623219efa4eb268787797731c6f49b77470b29717ff744a6a6948368ac8f1e1,0.0001,10000.00849401,0.00012152,318248,318248,2025-07-16 17:58:17.564765,499.0,0.0499,buy,9.999991505997214e-07,2014-08-30
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2014-09-07 00:31:10,2014-09-07 00:31:10,47cfdc8448109c2b9dd792be56652e8174560b97eb1ca06b73a99c70e533fea2,1e-05,10000.00850401,0.0004,319467,319467,2025-07-16 17:58:17.564765,479.7,0.004797,buy,9.999991495997231e-08,2014-09-07
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-01-28 13:14:33,2015-01-28 13:14:33,8663b52719fa852c16331accc622f01a160d11da69f5840f2327aaa49878b3ab,0.00010003,10000.00860404,0.0002,340849,340849,2025-07-16 17:58:17.564765,236.1,0.023617083,buy,1.0002991393386193e-06,2015-01-28
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-03-09 18:55:03,2015-03-09 18:55:03,c1ab97773e918a50f18d22c2d77f75a437bb42e70eaa5c362abae4915b3ef6a5,0.0001,10000.00870404,0.0001,346887,346887,2025-07-16 17:58:17.564765,291.0,0.0291,buy,9.999991295967577e-07,2015-03-09
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-04-01 19:23:12,2015-04-01 19:23:12,b3f20f69914fd1a6ec20eb71ac825f9b15c86f29c2612378e703870e7a4115e2,0.0005,10000.00920404,0.0002089,350272,350272,2025-07-16 17:58:17.564765,246.9,0.12345,buy,4.999995397984236e-06,2015-04-01
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-04-02 17:52:36,2015-04-02 17:52:36,a45febacfe256008d9d3d993869166e5438e3036164cfc7e3ac2e494fa5f27be,0.0005,10000.00970404,0.00020498,350408,350408,2025-07-16 17:58:17.564765,253.2,0.1266,buy,4.999995147984709e-06,2015-04-02
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-11-11 12:42:38,2015-11-11 12:42:38,2b143211bfeb1220ad0065e0f648550d34488f4d4ed014c3856edf5f77ba0332,0.0001,10000.00980404,0.00012,383065,383065,2025-07-16 17:58:17.564765,314.0,0.031400000000000004,buy,9.999990195969612e-07,2015-11-11
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2015-11-25 00:47:46,2015-11-25 00:47:46,77bfb2a8098508646980195c7885baf710c1b30b83cfb7432c6de01a1afe1bc7,0.000135,10000.00993904,0.0001,385201,385201,2025-07-16 17:58:17.564765,329.9,0.0445365,buy,1.3499986582309338e-06,2015-11-25
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2016-01-07 06:02:34,2016-01-07 06:02:34,00082718d96fd32f96482a7b1e73639fe7b91e83f5ce4361b5467e3049801fab,0.0001,10000.01003904,0.0001,392129,392129,2025-07-16 17:58:17.564765,459.0,0.0459,buy,9.999989960970078e-07,2016-01-07
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2017-10-05 23:51:27,2017-10-05 23:51:27,41f4a233642a3aee5b270a9bed1b4a859ca97d9ebc0dd30253a2f67c1e388b69,0.00054941,10000.01058845,5.198e-05,488461,488461,2025-07-16 17:58:17.564765,4315.4,2.3709239139999996,buy,5.4940941826058445e-06,2017-10-05
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2018-03-10 16:32:33,2018-03-10 16:32:33,b2abcb6d63aba8852e346ba5912cce690a2eb174590636b3eb2be1bf5164b737,7e-06,10000.01059545,4.068e-05,512900,512900,2025-07-16 17:58:17.564765,8762.0,0.061334,buy,6.999992583192859e-08,2018-03-10
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2018-05-08 09:39:14,2018-05-08 09:39:14,bb042ad92e2e6f2895e89a82a4af9f459bddee69c60d0b2231b92c0f3d8d6c0f,6.66e-06,10000.01060211,9.232e-05,521737,521737,2025-07-16 17:58:17.564765,9184.7,0.061170102000000004,buy,6.659992939002226e-08,2018-05-08
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2018-05-21 05:24:36,2018-05-21 05:24:36,763399427209efd58054a70e6e2050fab6d139d81c32f0006dc3374d55e872a8,3.3e-05,10000.01063511,3.451e-05,523643,523643,2025-07-16 17:58:17.564765,8393.4,0.2769822,buy,3.299996490417433e-07,2018-05-21
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2018-10-14 09:17:36,2018-10-14 09:17:36,2623a43bd2382c487c27a900a7b99221050ea6072918cb6d336b810add823261,5.55e-06,10000.01064066,2.26e-06,545700,545700,2025-07-16 17:58:17.564765,6335.2,0.03516036,buy,5.5499940944399836e-08,2018-10-14
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,999,2018-10-18 19:43:00,2018-10-18 19:43:00,22d30a104abda4323ecb9531ca885a1b92b5f9a8c9b92a579adab9bcdac55791,6.67e-06,10000.01064733,2.26e-06,546328,546328,2025-07-16 17:58:17.564765,6613.0,0.044108709999999995,buy,6.669992898238451e-08,2018-10-18
