wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2020-12-13 12:50:54,b25d44ddc050d66ed4fa7acbdc52f7abeebeb6ac336563ffa76ac1ea761d8b11,1.0,1.0,0.00011424,661174,19180.0,19180.0,buy,100.0
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2020-12-13 12:57:31,975464dc46def670c48a15f854dc620922af9719da5171b0957e0360b86deff7,24494.350375,24495.350375,0.00029076,661175,19180.0,469801640.19250005,buy,99.99591759258516
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2020-12-14 01:21:22,020884874ee2cee8c8e275c9efd6369dedc08a458ccb437eabd1feae7672ef68,5.47e-06,24495.35038047,0.00054719,661258,19281.0,0.10546707,buy,2.2330768554187325e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-01-03 07:17:45,7b6520a722a265a1438f44430deb9578d07f4cc3da5d54b2c0c197de4e4fb97d,5.47e-06,24495.35038594,0.00300945,664257,32971.0,0.18035137,buy,2.2330768549200693e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-01-17 18:01:27,e184a3b758a7f21f3c98a3a34d41504ae457e0f2a941f13fb1273b7e452d6922,5.47e-06,24495.35039141,0.00185616,666487,35903.0,0.19638941000000001,buy,2.233076854421406e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-02-07 20:27:38,59c5567d2a75d407bdb0cb41b7659968c703916d4e3da296284550bf38fefd07,5.47e-06,24495.35039688,0.00150836,669593,38841.0,0.21246027,buy,2.2330768539227426e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-02-24 06:45:51,9fcc27dc8682ba31c864e665f11bf7f5cd6a3ac7f22da7aab4fd859ac9406674,5.47e-06,24495.35040235,0.01169106,671922,49715.0,0.27194105,buy,2.2330768534240798e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-03-10 08:45:59,8009229c8c7909535c5a8da5510408fc0036cad74df477eddd41b2d4f84804fc,5.47e-06,24495.35040782,0.0020834,673977,55955.2,0.306074944,buy,2.2330768529254166e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-03-25 22:05:16,1906e9457dfc1773cba32b49874e4dc0990994e7e1f6e4131fd88ea354408c65,5.47e-06,24495.35041329,0.002758,676307,51363.0,0.28095561,buy,2.233076852426753e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-04-10 12:42:06,de51c553805ca957fa156abc4c8e5777af88db7530b119afead634a2e9fd6a5c,5.47e-06,24495.35041876,0.0008928,678613,59823.8,0.32723618600000004,buy,2.23307685192809e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-04-27 21:16:57,2f085e3d5d688c786202758f57af0bb68976fd88a2b569e6e56072e7b0850eb4,5.47e-06,24495.35042423,0.0070243,680875,55044.0,0.30109068,buy,2.2330768514294267e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2021-05-14 06:28:21,c2ae68e64fffcff0a17f388604e586dba99a714490247f5ac856a3ae6426afae,5.47e-06,24495.3504297,0.0007484,683557,49917.0,0.27304599,buy,2.2330768509307635e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2022-06-16 22:38:12,b1d9348bde95b8d322258edbc3116f1df2314da4d5173295414bceb412499c58,6e-06,24495.3504357,6.51e-06,741100,20394.0,0.122364,buy,2.4494444428341322e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2022-10-23 20:20:01,91a42feed5d2b177039451d93728302ba41a1d4d28b75520edf6919012aae3a6,7.77e-06,24495.35044347,9.22e-06,760031,19585.0,0.15217545,buy,3.1720305524640233e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2022-10-23 20:23:09,34130abfed524a5cd02e363a1240d382b91c9f8f5ceada8078b716743a1840bb,7.77e-06,24495.35045124,9.22e-06,760031,19585.0,0.15217545,buy,3.1720305514578455e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2023-03-01 20:42:55,39b73000d293896ef36ed0fbdc24362121f89eb206f28a8d42fd9f48015c7324,9.4e-05,24495.35054524,2.755e-05,778868,23646.0,2.222724,buy,3.8374629432795086e-07
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2023-12-02 18:38:20,55571ca5e1f86c11a5ec5837aa1edf4262042b4b18379373585047ce8f8938cf,5.46e-06,24495.350578,7.285e-05,843079,39438.0,0.21533148000000002,buy,2.228994430030239e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-01-10 22:14:50,da00ae387f8c18118d30227d0633bb605d06dad6681f5fe3751f3d616d0f00b0,5.46e-06,24495.3505507,0.00014544,825193,46636.0,0.25463256,buy,2.2289944325144474e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-01-11 21:49:57,4e1b3220849b5ed1bf519d0350431e68ae2d3bc1da65fe5bf5216f3e50a320ec,5.46e-06,24495.35055616,9.494e-05,825371,46377.0,0.25321842,buy,2.228994432017606e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-01-18 22:10:01,0928808fa27c0ccb1585f54337b2ca1c243ddc192389d835db75f7605341cde1,5.46e-06,24495.35056162,7.632e-05,826321,41337.0,0.22570002,buy,2.2289944315207643e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-01-26 08:49:29,32a9db7db486eecfc252272ab5a3d525fcf21050155c8e1cab2188fd6d688e86,5.46e-06,24495.35056708,6.464e-05,827444,41821.0,0.22834266,buy,2.2289944310239222e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-04-27 04:52:59,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,24495.35057254,0.016116,841047,63574.0,0.34711404,buy,2.228994430527081e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-08-09 12:24:25,348d35aa91ffad216d618c3187553c25279d27b2ae7b7a997dd5e13ad1dba571,5.46e-06,24495.35058346,8.16e-06,856031,60970.0,0.33289620000000003,buy,2.2289944295333977e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-08-30 11:37:18,9dceccf5632163a5c63b0ffdee133629ea460c7624b25719b05613f77ed1c029,5.46e-06,24495.35058892,8.07e-06,859075,59300.0,0.323778,buy,2.228994429036556e-08
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,2024-11-10 06:50:04,78e9ecd0bf9558603a7bb1f408b3b4e47b9213bedd06b4b9982196f2c2d54834,5.46e-06,24495.35059438,6.33e-06,869673,80367.0,0.43880382,buy,2.2289944285397146e-08
