wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2022-11-02 07:43:21,2022-11-02 10:19:31,"c1ce2be741bd1d231992a702f033add9cab6b1bccb39e6c1243a00a62dc2c740,c4fd1a2ab2b935a8403e8e1ee234bb8a10fa67bf4f9fcb02c0d9abd7ef3e37a6",0.00467704,0.00467704,7.809e-05,761380,761392,2025-02-11 20:49:41.194543,20168.0,94.32654272,buy,100.0,2022-11-02
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2022-11-04 14:01:56,2022-11-04 14:08:22,"454a0295350ae04e9f85989b5e59d81490182fecb1536668d006cd14d9eef5cf,21d63f91590f51a00f8abca2e00d708b235ab8eeb79f6c3a56ace60f10426084,f3db353939b71be3d6e269d180e339e5a0e8d4b86fb768980d984ae5579db734,df9f34945e140fafb5181393d6093840855414ebc46736f46f41b5b417b1d3bc",10000.002815150001,4000.00467704,0.0001633,761699,761699,2025-02-11 20:49:41.194543,21168.0,211680059.5910952,buy,249.99977806400952,2022-11-04
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-01-17 19:51:35,2024-01-17 19:51:35,b7e91af0b4a644427b426beae04a22b9587f98cd3f542b7cb39819e2212b9671,5.46e-06,10000.00749765,0.00015958,826173,826173,2025-02-11 20:49:41.194543,42778.0,0.23356788,buy,5.459995906286169e-08,2024-01-17
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-01-28 19:18:13,2024-01-28 19:18:13,540d06a56e55eb431a457fff5407f21546cd8fc8ada42596a1f5cae0d1da5ca8,8.2e-06,10000.00750585,0.00012047,827836,827836,2025-02-11 20:49:41.194543,42047.0,0.34478539999999996,buy,8.199993845207618e-08,2024-01-28
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-02-04 16:08:33,2024-02-04 16:08:33,6a46783cb2bf341f3d5e41797b684282c06013a07f0bca2c4867ec42d410a9ff,5.46e-06,10000.00751131,5.252e-05,828908,828908,2025-02-11 20:49:41.194543,42583.0,0.23250318,buy,5.459995898827821e-08,2024-02-04
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-02-22 03:27:42,2024-02-22 03:27:42,6506ed84ff37cc13b66810b082c5f41b76921b7c5cd09d64ab7a1a55bf309db0,5.46e-06,10000.00751677,3.434e-05,831487,831487,2025-02-11 20:49:41.194543,51287.0,0.28002702,buy,5.4599958958466655e-08,2024-02-22
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-04-27 04:52:58,2024-04-27 04:52:58,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,10000.00752223,0.016116,841047,841047,2025-02-11 20:49:41.194543,63574.0,0.34711404,buy,5.459995892865509e-08,2024-04-27
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-10-22 07:17:10,2024-10-22 07:17:10,c9d4d49faec5387c9ceef9e37ca65256e3c1cc2d9cd4721049e98ab57c3a01af,6.66e-06,10000.00752889,3.066e-05,866815,866815,2025-02-11 20:49:41.194543,67405.0,0.44891729999999996,buy,6.659994985763035e-08,2024-10-22
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-12-26 03:49:03,2024-12-26 03:49:03,07a7a99c6f9159355804ab6137e2a8ed7d1d8761e5def052326dbcb95b6dc70e,5.47e-06,10000.00753436,4.78e-06,876403,876403,2025-02-11 20:49:41.194543,95678.31244565404,0.5233603690777276,buy,5.469995878708185e-08,2024-12-26
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2024-12-30 07:52:13,2024-12-30 07:52:13,73488e24194f1e630971483ced2f6f7788132fd90e9c4df9755940e71ad4fec3,5.46e-06,10000.00753982,2.82e-06,877017,877017,2025-02-11 20:49:41.194543,92627.28213113276,0.5057449604359848,buy,5.4599958832613845e-08,2024-12-30
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2025-01-08 10:15:53,2025-01-08 10:15:53,24270f5a57adeb83a3eef542ce7ec5ff32c2e2c89d6cd0bead49be9a7bee60b6,5.46e-06,10000.00754528,2.9e-06,878427,878427,2025-02-11 20:49:41.194543,95016.71440989176,0.5187912606780091,buy,5.4599958802802295e-08,2025-01-08
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,47.0,2025-01-28 07:26:42,2025-01-28 07:26:42,41a53014c9c7e7539d723377d90ce32c12d4fb093c04a9f4113b8741dacac0a0,6e-06,10000.00755128,1.94e-06,881170,881170,2025-02-11 20:49:41.194543,101313.11264498268,0.6078786758698961,buy,5.999995469235422e-08,2025-01-28
