wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2022-11-02 08:03:54,2022-11-02 10:20:08,"468a4a9fd7b222bc3f3fae5778a2ceffd37958a0e917b2a43763e114fdff41f1,d5c60ff53550663375cd12c709731f4ba2a73b28b0750abc5df443e880288489",0.00464704,0.00464704,7.809e-05,761381,761392,2025-06-19 17:08:07.464435,20168.0,93.72150272,buy,100.0,2022-11-02
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2022-11-04 13:00:35,2022-11-04 13:22:18,"70cf9bc058db150b9e554e7f7ac8ff8463be9b73e1927cb8e22f6353380cf571,0f3d8d3192ac9011aa295b5a8e666c9b78dcc7bbaad8d33bd0b4fe960a9986cd,f4fb2c4cdf246500245de9e69c89bb420c284209e358445f7557e12ebb76e6dc,6932bc0e12eece7ac4c3d0461be6744cac1d282a40ed9b3448d4b741b993c984",10000.00236866,10000.0070157,0.000469,761694,761696,2025-06-19 17:08:07.464435,21168.0,211680050.1397949,buy,99.9999535296326,2022-11-04
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-01-17 21:36:46,2024-01-17 21:36:46,babfde489adc1f2ff55e64c9a55ed1ea8c8266ad00e4733a43ebaeaf0127ef2e,5.46e-06,10000.00702116,0.00013534,826181,826181,2025-06-19 17:08:07.464435,42778.0,0.23356788,buy,5.459996166449333e-08,2024-01-17
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-01-28 19:18:13,2024-01-28 19:18:13,540d06a56e55eb431a457fff5407f21546cd8fc8ada42596a1f5cae0d1da5ca8,8e-06,10000.00702916,0.00012047,827836,827836,2025-06-19 17:08:07.464435,42047.0,0.336376,buy,7.999994376675952e-08,2024-01-28
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-02-04 16:17:20,2024-02-04 16:17:20,76531107dd7e68f64ecf7ec1e33353cc23580e74b42c78750344197e6894610e,5.46e-06,10000.00703462,5.252e-05,828921,828921,2025-06-19 17:08:07.464435,42583.0,0.23250318,buy,5.4599961591001824e-08,2024-02-04
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-04-27 04:52:58,2024-04-27 04:52:58,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,10000.00704008,0.016116,841047,841047,2025-06-19 17:08:07.464435,63574.0,0.34711404,buy,5.459996156119026e-08,2024-04-27
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-12-26 03:49:23,2024-12-26 03:49:23,0044e63c74de163a91418b1eabfde530252b9b3ab48db09924d7084ab7717670,5.47e-06,10000.00704555,4.78e-06,876403,876403,2025-06-19 17:08:07.464435,95678.31244565404,0.5233603690777276,buy,5.469996146086865e-08,2024-12-26
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2024-12-30 07:52:17,2024-12-30 07:52:17,c21b68f13058d11766191891e7df84bc9593b39ce7ec73a04a0371a8b8ca9589,5.46e-06,10000.00705101,2.82e-06,877017,877017,2025-06-19 17:08:07.464435,92627.28213113276,0.5057449604359848,buy,5.4599961501512555e-08,2024-12-30
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2025-01-08 10:15:29,2025-01-08 10:15:29,1e8ee794f8d10d12322eea8e70d2af0aa195e868ea1a521c54e98a998b03d4f4,5.46e-06,10000.00705647,2.9e-06,878427,878427,2025-06-19 17:08:07.464435,95016.71440989176,0.5187912606780091,buy,5.459996147170099e-08,2025-01-08
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2025-01-27 14:10:18,2025-01-27 14:10:18,cff6e2a36febfc427e2f3933a04da17679ed74953ec2bb4fe0c16373346f8255,6e-06,10000.00706247,1.94e-06,881060,881060,2025-06-19 17:08:07.464435,101958.46953745594,0.6117508172247357,buy,5.999995762520992e-08,2025-01-27
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2025-04-11 11:24:02,2025-04-11 21:23:54,"a88b2b7c846b3093d2e95f81da82c9fd189c06d24c8ca1153712230319b6c8e0,d3602e903ed9c84204dfcfcf3b259809f6ddbfb56779ed7bf583ba974d092343",1.092e-05,10000.00707339,3.1500000000000003e-06,891920,891979,2025-06-19 17:08:07.464435,83439.28818043756,0.9111570269303783,buy,1.0919992275863585e-07,2025-04-11
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,51.0,2025-05-20 16:02:30,2025-05-20 16:02:30,4ddc83eec43df75b2e557e10b8cf28ef730de5f66952d08105479de4ab7f53b4,0.000127,10000.00720039,3.641e-05,897580,897580,2025-06-19 17:08:07.464435,106786.71995834044,13.561913434709236,buy,1.2699990855511284e-06,2025-05-20
