wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
<<<<<<< HEAD
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2020-12-13 11:33:04,2020-12-13 12:02:46,"1f3af6ccb700ad281ca9d774105fc12a217f84da3399414bf6190dc957231427,3b516b6975c7dce7915e9131f88dfa7435cecad6d8082e45e07d19e8595d55dc",23968.999695,23968.999695,0.000405,661167,661168,2025-06-19 17:08:07.448046,19180.0,459725414.1501,buy,100.0,2020-12-13
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2020-12-14 01:21:22,2020-12-14 01:21:22,020884874ee2cee8c8e275c9efd6369dedc08a458ccb437eabd1feae7672ef68,5.47e-06,23968.99970047,0.00054719,661258,661258,2025-06-19 17:08:07.448046,19281.0,0.10546707,buy,2.2821144262823536e-08,2020-12-14
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-01-03 07:17:45,2021-01-03 07:17:45,7b6520a722a265a1438f44430deb9578d07f4cc3da5d54b2c0c197de4e4fb97d,5.47e-06,23968.99970594,0.00300945,664257,664257,2025-06-19 17:08:07.448046,32971.0,0.18035137,buy,2.2821144257615488e-08,2021-01-03
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-01-17 18:01:27,2021-01-17 18:01:27,e184a3b758a7f21f3c98a3a34d41504ae457e0f2a941f13fb1273b7e452d6922,5.47e-06,23968.99971141,0.00185616,666487,666487,2025-06-19 17:08:07.448046,35903.0,0.19638941000000001,buy,2.2821144252407443e-08,2021-01-17
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-01-19 23:03:46,2021-01-19 23:03:46,3914655ebda85e39927c11f2835105d880cb2a6b7d6be254d4050435a42b09e1,0.001777,23969.00148841,0.00013977,666814,666814,2025-06-19 17:08:07.448046,35958.0,63.897366,buy,7.413742290680122e-06,2021-01-19
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-02-07 20:27:38,2021-02-07 20:27:38,59c5567d2a75d407bdb0cb41b7659968c703916d4e3da296284550bf38fefd07,5.47e-06,23969.00149388,0.00150836,669593,669593,2025-06-19 17:08:07.448046,38841.0,0.21246027,buy,2.2821142555298573e-08,2021-02-07
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-02-24 06:45:51,2021-02-24 06:45:51,9fcc27dc8682ba31c864e665f11bf7f5cd6a3ac7f22da7aab4fd859ac9406674,5.47e-06,23969.00149935,0.01169106,671922,671922,2025-06-19 17:08:07.448046,49715.0,0.27194105,buy,2.2821142550090528e-08,2021-02-24
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-03-10 08:45:59,2021-03-10 08:45:59,8009229c8c7909535c5a8da5510408fc0036cad74df477eddd41b2d4f84804fc,5.47e-06,23969.00150482,0.0020834,673977,673977,2025-06-19 17:08:07.448046,55955.2,0.306074944,buy,2.2821142544882486e-08,2021-03-10
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,21.0,2021-03-25 22:05:16,2021-03-25 22:05:16,1906e9457dfc1773cba32b49874e4dc0990994e7e1f6e4131fd88ea354408c65,5.47e-06,23969.00151029,0.002758,676307,676307,2025-06-19 17:08:07.448046,51363.0,0.28095561,buy,2.282114253967444e-08,2021-03-25
