wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-01-07 12:57:49,76ee2fa8eb178752d28bc14f2768124a00e9c2b3cc2fb87a712cf9ff1f427243,17523.2320528,17523.2320528,0.00115202,503012.0,16196.0,283806266.3271488,buy,100.0
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-01-08 21:13:28,e11bafd68a52006702aea448755ee0b9677920941ae1687b2c0953ac0ab027d9,293.68100285,17816.91305565,0.03013582,503233.0,14930.0,4384657.372550501,buy,1.6483270807502177
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-03-31 17:49:10,3e20549161741c5e9c7afe60cef68bfa5ac8bbeea08b8c8f6edf6b1ac2c8b679,7.77e-06,17816.91307119,6.78e-06,516011.0,6925.3,0.053809581,buy,4.36102481330737e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-03-31 17:49:10,9f618fa175ecb4afddd45cf0fc019dc3def67c81b0b530449b7589dde01bd21e,7.77e-06,17816.91306342,6.78e-06,516011.0,6925.3,0.053809581,buy,4.3610248152092235e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-03-31 17:49:10,80541ed675ca75c8f2f0f89fbbafe725557d774173edcb678de3170effa06640,9.11e-06,17816.9130803,6.78e-06,516011.0,6925.3,0.063089483,buy,5.113119180040702e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-05-08 09:26:07,1fae8a98eacb664fdf35bb63b877b9454c8ad2e861d326ecaa2b81cb12424e88,6.66e-06,17816.91308696,9.232e-05,521736.0,9184.7,0.061170102000000004,buy,3.738021265240599e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-05-21 05:24:36,763399427209efd58054a70e6e2050fab6d139d81c32f0006dc3374d55e872a8,3.3e-05,17816.91311996,3.451e-05,523643.0,8393.4,0.2769822,buy,1.852172695562546e-07
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-06-30 12:38:13,9712e1f9791321c42e842b9064c54d36abe1008470ea30f98ab14e5b8dc34cc7,6.84e-06,17816.9131268,1.13e-05,529887.0,6391.5,0.04371786,buy,3.839048858419447e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-07-07 14:23:53,fd502081d010787649d6855d58b2b9feef722851fcbfb6b4528d157aa1032229,1e-05,17816.9131368,6.319e-05,530895.0,6761.7,0.06761700000000001,buy,5.6126445267028144e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-07-07 16:34:43,730bc0c437198e56efc0f30b1eda4c77f6f29722465c2d749846e59561669060,8.28e-06,17816.91314508,3.6e-06,530913.0,6761.7,0.055986876,buy,4.647269665950219e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-07-31 11:41:50,550a2a575e1b4fe993ad9d87ce1a98600c9f9d86fd9128404d1d1bedb827f98d,6.74e-06,17816.91315182,2.26e-06,534529.0,7730.6,0.052104244,buy,3.7829224078086207e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-08-26 05:28:10,749299dea3443ea0b6bf8bc32cf154d776514cc147d9a3b43fd75297ce94646f,6.84e-06,17816.91315866,2.26e-06,538503.0,6708.4,0.045885456,buy,3.8390488515545033e-08
