wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2022-11-02 07:18:46,2022-11-02 10:18:36,"9026b68125d888a04830a2d7a81e0558a36f7c2fa0cc2bfbdb6012f20df1ca95,aeef068130700b32490744ee22f2e725427872e37522c363fd6c72acd2ef16b2",0.00472704,0.00472704,7.809e-05,761378,761392,2025-07-25 21:20:39.554888,20168.0,95.33494272,buy,100.0,2022-11-02
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2022-11-04 15:17:13,2022-11-04 16:20:51,"1b4c91e9558b4411090482a7647eb3fb107ba8023d69e4efa1200341f86faa17,af790af0b3ed16cc0e45a4d34fa69cadd8bbc99ebd11b567c3251e5b28b1c415",10000.001,10000.00572704,8.375e-05,761703,761708,2025-07-25 21:20:39.554888,21168.0,211680021.168,buy,99.99995272962708,2022-11-04
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-01-06 17:32:13,2024-01-06 17:32:13,11c9b70badbf2d6289f01a9392c252e8feaf8d1bfd4bf54b18e01843d566e337,0.00156468,10000.00729172,0.00018532,824642,824642,2025-07-25 21:20:39.554888,44005.0,68.8537434,buy,1.564678859079987e-05,2024-01-06
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-01-14 04:59:06,2024-01-14 04:59:06,cc0863b822095a13012a87016066b12e218aa7eefb0e2a81b9a182c76fa3e198,0.0005,10000.00779172,0.00115437,825731,825731,2025-07-25 21:20:39.554888,41737.0,20.8685,buy,4.999996104143036e-06,2024-01-14
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-01-17 16:50:52,2024-01-17 16:50:52,35f787d9254c74b38013b2ba8c21bd64d4a3ba6816e10bfd1c68b4b7060712a1,5.46e-06,10000.00779718,0.00013736,826151,826151,2025-07-25 21:20:39.554888,42778.0,0.23356788,buy,5.4599957427430397e-08,2024-01-17
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-02-04 15:27:26,2024-02-04 15:27:26,31879eb99bca9982580e82a10f0f0539bd7aca6c777fbadb27e64e5468b5fd06,5.46e-06,10000.00780264,5.252e-05,828903,828903,2025-07-25 21:20:39.554888,42583.0,0.23250318,buy,5.4599957397618834e-08,2024-02-04
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-04-11 09:56:46,2024-04-11 09:56:46,a5f098868280fd0e519bfca9f571c5e5e81d3440892df376e8a6e77bb3b89b0b,0.00053,10000.00833264,0.00089509,838740,838740,2025-07-25 21:20:39.554888,70104.0,37.15512,buy,5.29999558370448e-06,2024-04-11
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-04-21 19:08:39,2024-04-21 19:08:39,8286d96b706568bdce735a1c030c53a44866d2c218f9f2ba9c3e78acf14242fa,0.0003423,10000.00867494,0.0014577,840243,840243,2025-07-25 21:20:39.554888,64992.0,22.246761600000003,buy,3.422997030570614e-06,2024-04-21
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-04-25 10:38:26,2024-04-25 10:38:26,0abeff094a18cb345bcfb03d3049fe274b4b0aad1c72f64dc7da740c74a279d3,0.0003,10000.00897494,0.00042624,840805,840805,2025-07-25 21:20:39.554888,64555.0,19.3665,buy,2.9999973075204163e-06,2024-04-25
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-04-27 04:52:58,2024-04-27 04:52:58,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,10000.0089804,0.016116,841047,841047,2025-07-25 21:20:39.554888,63574.0,0.34711404,buy,5.459995096706004e-08,2024-04-27
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-10-04 17:28:13,2024-10-04 17:28:13,8a9bb6e9afc97a28fc3257fc3a1de03d55b5f71ae01439b0b955516dace9f275,8.832e-05,10000.00906872,1.496e-05,864153,864153,2025-07-25 21:20:39.554888,62191.0,5.49270912,buy,8.831991990513759e-07,2024-10-04
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-11-06 20:07:42,2024-11-06 20:07:42,c220215d4586e51c7595ba1e3dc4b7d39aca01f4b9d6b2c06e988a4368900b2d,0.00112006,10000.01018878,5.74e-06,869174,869174,2025-07-25 21:20:39.554888,75580.0,84.6541348,buy,1.1200588587966702e-05,2024-11-06
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-12-26 03:48:13,2024-12-26 03:48:13,74df0f5b7e95632aeb475f8cf1a2951b21c75ea468e926c7ed148dd00cd32470,5.47e-06,10000.01019425,4.78e-06,876403,876403,2025-07-25 21:20:39.554888,95678.31244565404,0.5233603690777276,buy,5.469994423750935e-08,2024-12-26
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2024-12-30 07:52:17,2024-12-30 07:52:17,b3f9da46e5a109e0bcad74d34fe2b31cc86f59f06094ce4340d0edf1701e52d9,5.46e-06,10000.01019971,2.82e-06,877017,877017,2025-07-25 21:20:39.554888,92627.28213113276,0.5057449604359848,buy,5.459994430964021e-08,2024-12-30
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-01-08 10:15:51,2025-01-08 10:15:51,fcadee3eb61bc479475f5d4eafe0ac167eb2b0c48d8edb1cd573b5ea290a93c1,5.46e-06,10000.01020517,2.9e-06,878427,878427,2025-07-25 21:20:39.554888,95016.71440989176,0.5187912606780091,buy,5.4599944279828664e-08,2025-01-08
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-01-27 14:15:16,2025-01-27 14:15:16,d9c0a2314ee46abd4ae5f9c0a1f28e269fea6705096b93d1dd4382cf07eb1b6b,6e-06,10000.01021117,1.94e-06,881061,881061,2025-07-25 21:20:39.554888,101958.46953745594,0.6117508172247357,buy,5.999993873304256e-08,2025-01-27
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-03-05 21:07:43,2025-03-05 21:07:43,169553397ffc0f741403bd428371f7a2381f05ef4f7d79c77cbb6f07c54b0d81,0.00033,10000.01054117,7.2e-06,886461,886461,2025-07-25 21:20:39.554888,90604.08098523636,29.899346725127998,buy,3.2999965214175666e-06,2025-03-05
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-04-11 11:24:15,2025-04-11 21:23:54,"4346215601c05c4cc311cb98aff1b888edc7b80a9e1b21c27e002d5a9aa81d72,b1e1cd3bece1b7e0dd5c49fbac2debd284269d36ee0a93f57ed34ae4e0c05567",1.092e-05,10000.01055209,3.1500000000000003e-06,891920,891979,2025-07-25 21:20:39.554888,83439.28818043756,0.9111570269303783,buy,1.091998847712988e-07,2025-04-11
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-07-18 02:02:45,2025-07-18 02:02:45,1628c9623e4e75ae2338019fcaaac9142ca2597d82cc7e994e41d239636bf965,5.46e-06,10000.01055755,2.12e-06,906022,906022,2025-07-25 21:20:39.554888,117988.94664455787,0.644219648679286,buy,5.4599942355837854e-08,2025-07-18
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,41.0,2025-07-22 17:50:21,2025-07-22 17:50:21,30f122cd814864a5a7a86430cc9327042da7057581835ccf75ed3645d857b0c3,5.46e-06,10000.01056301,2.03e-06,906720,906720,2025-07-25 21:20:39.554888,119955.79570607652,0.6549586445551778,buy,5.459994232602632e-08,2025-07-22
