wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2022-11-02 08:02:42,2022-11-02 10:19:56,"698f06c6b306c8559184839dcccce228d0f3291455ba3d792b2e3a559b2c86d2,64894a07b939d8045a6fb3af5beae622f7842b81e49212a6fbfb471870e59c36",0.00465704,0.00465704,7.809e-05,761381,761392,2025-07-13 20:07:51.264626,20168.0,93.92318272,buy,100.0,2022-11-02
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2022-11-04 13:25:46,2022-11-04 13:41:59,"f09ec3c46bad1a42d96d24144a3107db2a725396218d5c7c810e67b76c702e94,19ecd573614a6de1c3eac91b23f6ee55e4bd68f22ceb13075457953bcbdd5b41,5c1707f5e8584b8b72b386bc80a34df75e4b7a7f826a42a814efb3735d4ffe67,7d861b78650014ba230ff63ece45ae36c0dcbf562347e977d54484793cee49f1",10000.00351636,4000.00594715,0.0004148,761696,761697,2025-07-13 20:07:51.264626,21168.0,211680074.43430847,buy,249.99971621254696,2022-11-04
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2023-06-16 13:12:21,2023-06-16 13:12:21,a086b2a42ee8d7b8461943a10df22be4e0cec538c6a8f60fc08819a516349a96,0.0003,10000.0084734,0.000972,794617,794617,2025-07-13 20:07:51.264626,26357.0,7.907099999999999,buy,2.999997457982154e-06,2023-06-16
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-01-17 16:50:15,2024-01-17 16:50:15,666aa3978094c22f1baceb5bf9592b802bdce01276129d3f864429e13bc7d6bb,5.46e-06,10000.00847886,0.00013534,826151,826151,2025-07-13 20:07:51.264626,42778.0,0.23356788,buy,5.459995370546366e-08,2024-01-17
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-02-04 11:26:32,2024-02-04 11:26:32,69604c938613e0c98d80127c7e08550c6547c4b29df1bd7e360f132264a82a9a,5.46e-06,10000.00848432,5.252e-05,828884,828884,2025-07-13 20:07:51.264626,42583.0,0.23250318,buy,5.45999536756521e-08,2024-02-04
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-02-22 03:55:59,2024-02-22 03:55:59,9fad91f58ae85f00d1cfb4f68fb744fad6f2656be226e93df059cdbaaff563d2,5.46e-06,10000.00848978,3.232e-05,831489,831489,2025-07-13 20:07:51.264626,51287.0,0.28002702,buy,5.4599953645840554e-08,2024-02-22
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-04-27 04:52:58,2024-04-27 04:52:58,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,10000.00849524,0.016116,841047,841047,2025-07-13 20:07:51.264626,63574.0,0.34711404,buy,5.459995361602902e-08,2024-04-27
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-12-26 03:48:57,2024-12-26 03:48:57,b68b4f1a5d8ef4297e1a23110ec48075089474071412f89ae1cdfe62bbdf373b,5.47e-06,10000.00850071,4.78e-06,876403,876403,2025-07-13 20:07:51.264626,95678.31244565404,0.5233603690777276,buy,5.4699953501155826e-08,2024-12-26
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2024-12-30 07:52:49,2024-12-30 07:52:49,210c935826cc4661e205fa932b02ffe3b95d7494a59231f1efc8c14433afdb32,5.46e-06,10000.00850617,2.82e-06,877017,877017,2025-07-13 20:07:51.264626,92627.28213113276,0.5057449604359848,buy,5.459995355635132e-08,2024-12-30
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2025-01-08 10:17:22,2025-01-08 10:17:22,ff0fb3e358366ab18e8d808bdd49fbdb8afa81b2ebef18530531dbe7a5274710,5.46e-06,10000.00851163,2.9e-06,878410,878410,2025-07-13 20:07:51.264626,95016.71440989176,0.5187912606780091,buy,5.4599953526539755e-08,2025-01-08
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2025-01-28 07:27:07,2025-01-28 07:27:07,023c4f705ce6b0023eb0e349fd3cebfbebf7f444803e7995abccf7a25987cc1e,6e-06,10000.00851763,1.94e-06,881169,881169,2025-07-13 20:07:51.264626,101313.11264498268,0.6078786758698961,buy,5.999994889426354e-08,2025-01-28
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,49.0,2025-04-11 11:24:16,2025-04-11 21:23:54,"35f82c820dece80c36da6aa60004151dc247c1d3b2ed49fa038cef872c772d5e,2eda41477dee7efad37459f50e84cee5594e830f8af573e5d603c86d04da0988",1.092e-05,10000.00852855,3.1500000000000003e-06,891920,891979,2025-07-13 20:07:51.264626,83439.28818043756,0.9111570269303783,buy,1.0919990686831342e-07,2025-04-11
