wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-05-27 22:49:42,2014-05-27 22:49:42,2a29fdb4e188f827da3c3175856b3ed95819b323bb303a46b8036534e78c76db,53880.05311692,53880.05311692,0.0,302920,302920,2025-07-16 17:58:16.273018,570.0,30711630.276644398,buy,100.0,2014-05-27
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-06-13 10:14:05,2014-06-13 10:14:05,d2e8528c7298e3b57d0a3e34ace2f4c3b8660dacbe5c69b629c39ecfc8c80eb6,1e-05,53880.05312692,0.0001,305565,305565,2025-07-16 17:58:16.273018,582.6,0.0058260000000000004,buy,1.8559744134705982e-08,2014-06-13
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-06-17 14:09:33,2014-06-17 14:09:33,08eef9c3e27be9135a03afec66ebda1bc4bbbad5cda14488bb2cb939c6731f59,0.0001,53880.05322692,0.0001,306326,306326,2025-07-16 17:58:16.273018,614.3,0.06143,buy,1.855974410025957e-07,2014-06-17
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-06-27 08:58:53,2014-06-27 08:58:53,01766ee8fd4f4cf4b662687761d8111eefe601a3a69c2ad5210492d513fc1480,0.0001,53880.05332692,0.0001,308079,308079,2025-07-16 17:58:16.273018,606.2,0.06062000000000001,buy,1.8559744065813158e-07,2014-06-27
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-07-29 18:24:55,2014-07-29 18:24:55,eb34e69920d025bf122a1df477e8ffa9ad03dc31cec567f9b90af1bdec6dfcc3,0.0001,53880.05342692,0.0002,313040,313040,2025-07-16 17:58:16.273018,575.0,0.0575,buy,1.855974403136675e-07,2014-07-29
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-08-30 13:20:52,2014-08-30 13:20:52,e623219efa4eb268787797731c6f49b77470b29717ff744a6a6948368ac8f1e1,0.0001,53880.05352692,0.00012152,318248,318248,2025-07-16 17:58:16.273018,499.0,0.0499,buy,1.8559743996920342e-07,2014-08-30
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-09-07 00:31:10,2014-09-07 00:31:10,bf5be9f4843c22f5022236ab0b0bfd5fd10a56882e5574ff4145828bc26bb5b1,1e-05,53880.05353692,0.0004,319467,319467,2025-07-16 17:58:16.273018,479.7,0.004797,buy,1.85597439934757e-08,2014-09-07
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-09-23 20:10:16,2014-09-23 20:10:16,304d79d1f9c678c2a8d81eb9977439784c2bc26904eb14e38d7335140d1b9732,0.0001,53880.05363692,0.0001,322222,322222,2025-07-16 17:58:16.273018,429.1,0.042910000000000004,buy,1.8559743959029292e-07,2014-09-23
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-10-11 00:45:14,2014-10-11 00:45:14,b715c053d71262f7f5e0ca6b6f12c92382edced7e522392dc5a358853cc21fa7,0.001,53880.05463692,0.0001,324779,324779,2025-07-16 17:58:16.273018,361.3,0.3613,buy,1.8559743614565198e-06,2014-10-11
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,3.0,2014-10-23 15:26:38,2014-10-23 15:26:38,7dbfd677418e7f6a5c0da1928e63ec11b85b42120a778cd8547e05019b9822e5,0.0001,53880.05473692,0.0001,326630,326630,2025-07-16 17:58:16.273018,356.0,0.0356,buy,1.8559743580118793e-07,2014-10-23
