wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2022-11-02 06:37:40,2022-11-02 10:18:23,"192a0cc29f1b2258f47f8ea747fcc14b48fe5a3a7b9eca78c5a205d84e20fdfb,7b43b3e1479498d5583cc13d22e6a44bb50089b783e3ba38e1a0de5478bc80c9",0.00473704,0.00473704,7.809e-05,761374,761392,2025-02-08 21:18:10.602998,20168.0,95.53662272,buy,100.0,2022-11-02
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2022-11-04 15:32:42,2022-11-04 16:30:40,"feb7bf2a768d33a667d3832e912f00dd36ba2cb971212527ec3bab6084d26248,e3a1f28a91db46b686d306169eb7e33be448b85316d4dd51c8e084f150085149",10000.001,10000.00573704,8.375e-05,761705,761709,2025-02-08 21:18:10.602998,21168.0,211680021.168,buy,99.99995262962716,2022-11-04
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-01-17 21:37:53,2024-01-17 21:37:53,708123a9e6f8c28fc269e57485e9ee8d92cd994ca9e41d55e97b5c75bf25a1fb,5.46e-06,10000.0057425,0.0001768,826181,826181,2025-02-08 21:18:10.602998,42778.0,0.23356788,buy,5.459996864596801e-08,2024-01-17
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-01-28 19:18:40,2024-01-28 19:18:40,540d06a56e55eb431a457fff5407f21546cd8fc8ada42596a1f5cae0d1da5ca8,8.3e-06,10000.0057508,0.00012047,827836,827836,2025-02-08 21:18:10.602998,42047.0,0.3489901,buy,8.299995226838745e-08,2024-01-28
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-02-05 09:00:55,2024-02-05 09:00:55,3f7ec1d215b188b57347badbfd0c25f130f1a5de2c0b8fe88af4d9ce2801ea9b,5.46e-06,10000.00575626,5.252e-05,829019,829019,2025-02-08 21:18:10.602998,42707.0,0.23318022000000002,buy,5.45999685708385e-08,2024-02-05
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-04-27 04:52:59,2024-04-27 04:52:59,c097a280bfed180a99d579053473408b8f0caa1c886bbc819fda65b08d590728,5.46e-06,10000.00576172,0.016116,841047,841047,2025-02-08 21:18:10.602998,63574.0,0.34711404,buy,5.459996854102693e-08,2024-04-27
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-12-26 03:49:52,2024-12-26 03:49:52,0c6747bd3da95a2e2414b52438c02559531e73e6cad3c4074ff132c1f6e1f073,5.47e-06,10000.00576719,4.78e-06,876403,876403,2025-02-08 21:18:10.602998,,0.0,buy,5.4699968453488896e-08,2024-12-26
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2024-12-30 07:54:01,2024-12-30 07:54:01,da2350753a2b8016e6e5067caf172c7cae9cc188e839bf102f894e8c4e39e0a4,5.46e-06,10000.00577265,2.82e-06,877017,877017,2025-02-08 21:18:10.602998,,0.0,buy,5.45999684813492e-08,2024-12-30
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2025-01-08 10:16:21,2025-01-08 10:16:21,87d79d58b3b634c70cfa2b981290fd19a3726ff858050a0c9de9211baeaced7b,5.46e-06,10000.00577811,2.9e-06,878427,878427,2025-02-08 21:18:10.602998,,0.0,buy,5.459996845153763e-08,2025-01-08
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,51.0,2025-01-27 05:13:01,2025-01-27 05:13:01,e13cfaa0f2e841054eab00d56b61eb2c4dc3edfca953b63e8c15c10d3ae15f0c,6e-06,10000.00578411,1.94e-06,881007,881007,2025-02-08 21:18:10.602998,,0.0,buy,5.999996529536007e-08,2025-01-27
