wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2011-05-04 01:14:27,5d59e2436e9377931f8cbeedb31c4556d180b56f935ab732207bc5db987d4d14,10000.0,10000.0,0.0,121710.0,,,buy,100.0
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-10-12 16:14:31,ca44caf712eb2b6b5a2f2681d7056504523503375b0e7af921621b06195265dc,1e-08,10000.00000001,0.0001,263156.0,126.5,1.265e-06,buy,9.999999999989999e-11
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-11-25 03:48:39,8e8615e8ee1ae1d61c536f4b57117f130d45bf43b91ec90794079565fb2c3c51,0.0001,10000.00010001,0.0001,271365.0,782.8,0.07828,buy,9.999999899990002e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-11-25 05:30:44,886e8fe3e890d7e8f07e713a2ea6bec94a0a7c83b1bc416a6cf6eb19a185af9b,0.0001,10000.00020001,0.0001,271380.0,782.8,0.07828,buy,9.999999799990004e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-11-26 02:07:12,7d53313ea7819acda4ed778a2bd5f2fe2748fbe12e8b8273198eddcdbfd7a968,0.0001,10000.00030001,0.0001,271539.0,849.6,0.08496000000000001,buy,9.99999969999001e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-12-02 10:42:30,48801d2cb899cce03cb6cd0c322ba80d8ad5c68c1874d655b9aa6bbc055402f7,0.0001,10000.00040001,0.0004,272647.0,998.1,0.09981000000000001,buy,9.999999599990016e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2013-12-25 21:26:40,00159ec05700498094ca1831e1b365534c540e315d65319c2c6a456659df2aae,0.000269,10000.00066901,0.0005,276944.0,,,buy,2.689999820036322e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2014-02-06 19:05:19,7820870ecf6f784063e81e4e3a4f5d8ed92a2ea22bde408484dac4df025c5a6b,0.00777,10000.00843901,0.0001,284499.0,771.6,5.995332,buy,7.769993442894763e-05
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2014-03-27 10:40:24,c92db7544aea963c839da3633fc1569118fcf7476410299ddc901d58eb4ba917,5.5e-05,10000.00849401,0.0001,292697.0,498.5,0.0274175,buy,5.499995328298468e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2014-07-29 18:39:12,9cc3b6c6bf3f9c445d461eca8b090d70ad4934c1cff9c9b72ccad7693137c4e4,0.0001,10000.00859401,0.0002,313042.0,575.0,0.0575,buy,9.999991405997385e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2014-08-30 13:20:52,e623219efa4eb268787797731c6f49b77470b29717ff744a6a6948368ac8f1e1,0.0001,10000.00869401,0.00012152,318248.0,499.0,0.0499,buy,9.999991305997558e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2014-09-07 00:31:10,47cfdc8448109c2b9dd792be56652e8174560b97eb1ca06b73a99c70e533fea2,1e-05,10000.00870401,0.0004,319467.0,479.7,0.004797,buy,9.999991295997576e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2015-01-28 13:14:33,8663b52719fa852c16331accc622f01a160d11da69f5840f2327aaa49878b3ab,0.00010003,10000.00880404,0.0002,340849.0,236.1,0.023617083,buy,1.000299119332654e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2015-03-09 18:19:55,440692489510ab7f17d979c295f5243221d132067d9d60cddee6be62261dd354,0.0001,10000.00890404,0.0001,346882.0,291.0,0.0291,buy,9.99999109596793e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2015-04-01 19:23:12,b3f20f69914fd1a6ec20eb71ac825f9b15c86f29c2612378e703870e7a4115e2,0.0005,10000.00940404,0.0002089,350272.0,246.9,0.12345,buy,4.999995297984422e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2015-04-02 17:52:36,a45febacfe256008d9d3d993869166e5438e3036164cfc7e3ac2e494fa5f27be,0.0005,10000.00990404,0.00020498,350408.0,253.2,0.1266,buy,4.999995047984904e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2015-11-25 00:47:46,77bfb2a8098508646980195c7885baf710c1b30b83cfb7432c6de01a1afe1bc7,0.000135,10000.01003904,0.0001,385201.0,329.9,0.0445365,buy,1.3499986447309606e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2016-01-07 06:02:34,00082718d96fd32f96482a7b1e73639fe7b91e83f5ce4361b5467e3049801fab,0.0001,10000.01013904,0.0001,392129.0,459.0,0.0459,buy,9.999989860970281e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2017-11-09 01:23:21,506f9f5b451918082d829dda8bffcbf59f168b498354357b61e81e272795c915,0.0001,10000.01023904,0.00045652,493695.0,7126.2,0.71262,buy,9.999989760970484e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-03-10 16:32:33,580dc71ef1b6930fbfd67ab5eb41711d69871740a1d7bb1ebaf295bf167bbe4b,7e-06,10000.01024604,4.972e-05,512900.0,8762.0,0.061334,buy,6.999992827779349e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-05-08 09:45:17,af10599b84511b3660949ee9eb52ac0b0bc718a65df6ea17466d43edcee07d41,6.66e-06,10000.0102527,4.163e-05,521738.0,9184.7,0.061170102000000004,buy,6.6599931717088e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-05-21 05:24:36,763399427209efd58054a70e6e2050fab6d139d81c32f0006dc3374d55e872a8,3.3e-05,10000.0102857,3.451e-05,523643.0,8393.4,0.2769822,buy,3.2999966057224916e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-10-14 09:17:36,08a7a4d11efdbce04ebe288de462e2f0b59ff8b022cb3df263b9382032651307,5.55e-06,10000.01029125,2.26e-06,545700.0,6335.2,0.03516036,buy,5.549994288362128e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-10-18 19:43:00,7dd87aaa7ba6a47136c9d52755fd35442114a7b1816a2df353e639bebc3fe19d,6.67e-06,10000.01029792,2.26e-06,546328.0,6613.0,0.044108709999999995,buy,6.669993131294433e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2018-10-23 11:50:56,1d6580dcd979951bd600252b741c22a3ea8e605e43168f8452c68915c3ea2bf3,8.88e-06,10000.0103068,0.00085258,547011.0,6550.0,0.058164,buy,8.879990847571032e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-01-05 01:06:28,8d8051dc3f0e4bfe6ae59a24da3b5cc0b0f54d688b1d4041da0abeecb229c5b0,1e-05,10000.0103168,1.68e-06,557070.0,3911.0,0.039110000000000006,buy,9.999989683210643e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-03-15 10:39:45,183147e0b73efb660ff553729d661f8be0292a253da0ff6f01963a1e111c0249,5.46e-06,10000.01032226,3.54e-06,567172.0,4003.1,0.021856926,buy,5.459994364051858e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-03-21 08:28:40,e044dd3819ecc4522a7689910f92c8cdde6d76c82c1263927caf1a542ce85b88,5.46e-06,10000.01032772,2.92e-06,568100.0,4044.8,0.022084608000000002,buy,5.459994361070705e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-03-31 01:44:13,24ce79cd770e7b0aefd5971492ea058f5237b314088e7779b3425561f8adfc06,8.88e-06,10000.0103366,4.05e-05,569526.0,4167.6,0.037008288,buy,8.879990821108687e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-05-29 09:52:25,c0a41a796e7b0da5ca556b5ba549c77ec85899b1af78a5420653fbc2d4bb7ba0,0.0001,10000.0104366,0.00034034,578335.0,8680.9,0.86809,buy,9.999989563410893e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-06-18 12:39:33,786cf1ab0510eea36a1c84cd7a32462e1617ba33b8d096ccc01ac3ddd1b5a26b,7.77e-06,10000.01044437,0.00092923,581257.0,9095.9,0.070675143,buy,7.769991884732987e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-07-12 17:57:40,c39f0580e22482f12a0ed215496f9eef88bc9143b4cecbcee4e310e9b7a42aad,0.00030643,10000.0107508,1.356e-05,585112.0,11765.0,3.6051489500000002,buy,3.0642967056358975e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-07-23 10:25:59,8163009e0c5a75c481593a75dda410389d04cb1973f8809b3d66baeba2aa9baf,5.47e-06,10000.01075627,0.0016814,586651.0,9854.9,0.053906303,buy,5.469994116326639e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2019-07-26 02:02:35,fc7c2fb72e338f357eec116b64e12f87084c7d9d3197f153c2feeb1965c44a22,0.00032379,10000.01108006,6.78e-06,587043.0,9842.5,3.186903075,buy,3.237896412391348e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-03-08 17:04:53,e2152d9ae3c2aff3552c0bd5bb7ec5c1e2ef7ff4852aede48a92ee51aadf247c,6e-06,10000.01108606,3e-06,620828.0,8074.0,0.048444,buy,5.999993348371375e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-03-10 03:27:16,fe3d10cd3d5869e55155a7499fe71c24faba852753bc5fb0e211d144c45b49c8,6e-06,10000.01109206,3e-06,621033.0,7913.8,0.047482800000000006,buy,5.999993344771383e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-03-14 08:38:31,7f4ef4d199382d942bda870f87e2a3bb120ef687d16b33a3551947054ee44de2,6e-06,10000.01109806,3e-06,621594.0,5218.2,0.0313092,buy,5.999993341171389e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-04-03 19:14:22,3aa85415fc85cb9477f51eb0eab7eb5590f5c41f1c1e59631bfdd1a4bc493ca9,5.8e-06,10000.01110386,4.52e-05,624247.0,6740.8,0.03909664,buy,5.799993559768351e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-05-04 18:47:34,2c593e46bb7e143f571d767c71601d78e86b9a89ee22530451755cc3d60ff4a4,9.834e-05,10000.0112022,7.006e-05,628932.0,8865.8,0.871862772,buy,9.83398898376886e-07
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-05-28 11:13:31,0df525eb775233a6aa6e3a0f3b36024fc6d992b2a6ec9994eb45cad31b77b952,0.0006,10000.0118022,0.003257,632037.0,9589.3,5.7535799999999995,buy,5.999992918688357e-06
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-08-04 12:16:32,f0bf07213497cd5a61eb07b4c9149693bf3e4c1238afdc766ac482834756ce8f,5.47e-06,10000.01180767,0.0030369,642195.0,11184.0,0.06117648,buy,5.469993541212136e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-08-09 00:18:05,3e2df495fabed31acca499dce82c084a708cfd518b970a09f031073bf289651d,5.47e-06,10000.01181314,0.00282944,642845.0,11675.7,0.063866079,buy,5.469993538220054e-08
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,2020-08-13 10:14:48,51abc45489b3aeb33b4cc5249f10c74c9a50338292135a7f2035e60f9c3e12de,5.47e-06,10000.01181861,0.00220693,643512.0,11792.5,0.064504975,buy,5.4699935352279695e-08
