wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2010-07-24 12:16:11,2010-07-24 12:16:11,29a03d6dde161b0a17c3a37285679d52a1afa4d38fbc40111b921f6b93ccf453,19400.0,19400.0,0.0,69970,69970,2025-07-13 20:07:51.746645,,0.0,buy,100.0,2010-07-24
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2012-07-15 20:36:59,2012-07-15 20:36:59,23f32af6da39992bf2853d0c83bb6a69f3167dc0023a0d28f9963fe6defbfa9b,0.031337,19400.031337,0.0,189227,189227,2025-07-13 20:07:51.746645,7.6,0.23816119999999996,buy,0.00016153066691306653,2012-07-15
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2012-10-23 03:35:41,2012-10-23 03:35:41,55f48659d94ad503c31d4daa6dc21b1b3273cf1036572be604f437ad7a240d04,0.009763,19400.0411,0.00411,204560,204560,2025-07-13 20:07:51.746645,11.6,0.11325080000000001,buy,5.032463565244716e-05,2012-10-23
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-02-01 21:08:21,2013-02-01 21:08:21,f8b9e9b7630c3b56b657331a87e4b986561a150068512323e036e2b78ff9a7c3,14.35569964,19414.39679964,0.0,219135,219135,2025-07-13 20:07:51.746645,20.5,294.29184262,buy,0.07394357799602713,2013-02-01
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-02-03 02:50:53,2013-02-03 02:50:53,3037c724eb6144d5854d828a65e8536efc499d2c8b97faa68ccc3a2466173b66,7.76e-06,19414.3968074,0.002,219330,219330,2025-07-13 20:07:51.746645,20.6,0.00015985600000000002,buy,3.9970337873398136e-08,2013-02-03
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-05-22 02:50:01,2013-05-22 02:50:01,db92d28c8aebde7a21546c23e3718fd0d26d18c45c353fc9c145d87be61fc1f2,0.015,19414.4118074,0.0005,237286,237286,2025-07-13 20:07:51.746645,123.8,1.857,buy,7.726219134943145e-05,2013-05-22
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-06-29 06:47:20,2013-06-29 06:47:20,e7a489404c9dd753aaba421a2429ecda13c6b78c68c853e8e980025bf35e9e45,0.001,19414.4128074,0.0015,243872,243872,2025-07-13 20:07:51.746645,95.0,0.095,buy,5.150812491320056e-06,2013-06-29
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-08-19 22:12:55,2013-08-19 22:12:55,89fb03bd9ee6e662708768ff1cdf43237d1d2f9d69e95b3dca5d8c26b17bf1c9,1e-08,19414.41280741,0.001,253087,253087,2025-07-13 20:07:51.746645,102.3,1.023e-06,buy,5.150812491317403e-11,2013-08-19
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-09-10 17:58:15,2013-09-10 17:58:15,ed29c8c55f1131f47cd91e6bf7f5c09b5332c261ef6f3ec48c4f9982184c2621,0.000415,19414.41322241,0.001,257161,257161,2025-07-13 20:07:51.746645,121.5,0.0504225,buy,2.1375871382039336e-06,2013-09-10
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,24.0,2013-10-12 16:14:31,2013-10-12 16:14:31,3de46f203cb87cb06a2d593fb012cdced90667cfb2981f47327b345448335d0e,1e-08,19414.41322242,0.0001,263156,263156,2025-07-13 20:07:51.746645,126.5,1.265e-06,buy,5.1508123812116446e-11,2013-10-12
