wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2019-02-01 15:46:33,2019-02-01 15:46:33,82ce0c102cdf066fa5f60c6969d49936b73b48d1a71eab9bf381a9a277caa1e5,0.00582139,0.00582139,0.00042413,561082,561082,2025-06-19 17:08:06.203825,3536.2,20.585599318,buy,100.0,2019-02-01
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-08-15 16:55:25,2020-08-15 16:55:25,2a9d912ad2eec419e9d1c736566834cf9e56706ba385e1b94184d3a29406ffd0,-0.00255075,0.00327064,0.00055075,643871,643871,2025-06-19 17:08:06.203825,11873.4,-30.28607505,sell,77.9893231905682,2020-08-15
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-08-16 10:41:36,2020-08-16 15:16:09,"3d1906bc7a719529473cec6939467a04bf42360568fb3a3378bf15f6e29c101f,cc517906949e3b40b1d1ffe1c604e14c979a6ba8f1c9a5f4e46916f8b5286216,8a2d0023086dcfb8a71172b50de2f06a28a14c1388f5b8b84e485e52f6d21367,fea1b1432c3922c016cfacf7877d15221e207820a193234fe9962402925bdf31,20e11683eba2b15654956141cc48c89ce390ad191b831e12133209c4d9719d7a,419d1ceeb8a45f20945ae90a68e8925bc5efa2a3d3ec59c00ae93b55509ebdf2,bcd49eadf2ee11eeb471a814ad81cba060ba37bb775429b9168a7dd8937c2205,515f9a8368064f85c9b8ef09ee42b07517123bd48369529ffdf8fd46e7b53301,545b99f2a307734c6833edb300170af4c33f035d82ddf5a169b17128eaa1a6a7,dcfd34bfbcf636592795cf1dab62f0e598b1d4cbc09b79c8d7fe340aaeb5779c,e672b3754c31d370103499142e6bce95910a20d390ef017e9135b9c948b69685,eb7a3c811465610960697e0a3085f63ea096191981e30c3228664221159a8221",4327.93540625,4327.93867689,0.06667953,643986,644018,2025-06-19 17:08:06.203825,11925.0,51610629.71953125,buy,99.99992442961315,2020-08-16
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-08-18 06:34:18,2020-08-18 06:34:18,39e85583285b7b1f3873b05e0354f159799d07b296f80feed47585430e914cf8,5.47e-06,4327.93868236,0.0080444,644238,644238,2025-06-19 17:08:06.203825,11961.8,0.06543104599999999,buy,1.263881122506394e-07,2020-08-18
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-08-25 23:46:44,2020-08-25 23:46:44,"63947255083a0642a523e9098709c7aa976619a8c7945faac14876755c3ab7c3,d06445ee8a4e45024bd063be102732e0a8bf117a3dba905fc73b0d22b8c2c7b1",805.62793,5133.56661236,0.01470716,645343,645343,2025-06-19 17:08:06.203825,11341.0,9136626.35413,buy,15.693337416919913,2020-08-25
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-08-27 04:18:50,2020-08-27 15:39:22,"3e6d2a5fbd7c277a3161ab28ca2288bc337dd543357365b8948ea934eb1bf271,23c7501e07ee4af5c1c19cdccb16d0942e02b13110b55b90e3218c0d1183f6c9,615ac97a852b5d572240ae9f76a431fb1067cd847ff3bfc39820cb0c9468e903,5e99155e1622414626ffcea1d6d5db391d24660ae29f1bc4a2a3e104a5d34119,352ae2cf78e3d78e0ec8ee1fe5db4f4c69423bde558d94ec8334018ad42d6566",4000.0000111,9133.56662346,0.04346185,645509,645564,2025-06-19 17:08:06.203825,11343.0,45372000.1259073,buy,43.794501929025294,2020-08-27
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-09-18 12:24:29,2020-09-18 12:24:29,f741ec8d25827c492907f484d89f66faff804f5f7703dcb2b5a60a03cd7316ef,5.47e-06,9133.56662893,0.00010371,648923,648923,2025-06-19 17:08:06.203825,10957.2,0.05993588400000001,buy,5.988898118588326e-08,2020-09-18
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-10-11 13:16:42,2020-10-11 13:16:42,073cdedfe1a802629a41a3739dfddeb1d82a49fbaf6d165f8b6ece586aa761d3,5.47e-06,9133.5666344,0.00177885,652246,652246,2025-06-19 17:08:06.203825,11385.0,0.062275950000000004,buy,5.988898115001636e-08,2020-10-11
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-11-01 02:01:58,2020-11-01 02:01:58,4237a73fdcc064d89885471e238e062e7332219c2c4cb1fe0050ad156b225010,5.47e-06,9133.56663987,0.00909168,654942,654942,2025-06-19 17:08:06.203825,13756.0,0.07524532,buy,5.988898111414947e-08,2020-11-01
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-11-21 21:39:14,2020-11-21 21:39:14,e4985a12371ea46915ab09b5fc9457b80fe1743e5f40027c7a7792705bcae3b7,5.47e-06,9133.56664534,0.0006223,658045,658045,2025-06-19 17:08:06.203825,18660.0,0.1020702,buy,5.988898107828256e-08,2020-11-21
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2020-12-19 05:06:54,2020-12-19 05:06:54,5247e7d683cb7ac4243dcf61809dd7c84ac540d8dd2230e862c0e5df1bc72f13,5.47e-06,9133.56665081,0.00492732,662002,662002,2025-06-19 17:08:06.203825,23804.0,0.13020788,buy,5.988898104241566e-08,2020-12-19
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2021-01-21 03:43:38,2021-01-21 03:43:38,c81b415161d8ef1004072bd58eb879bd93e4c26ce8aecdd2a446c846728e0713,5.47e-06,9133.56665628,0.00545859,666972,666972,2025-06-19 17:08:06.203825,30873.0,0.16887531,buy,5.988898100654877e-08,2021-01-21
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2021-02-13 02:04:17,2021-02-13 02:04:17,37daec519368e5ba5d4a71c343d4528c09d5c6971d35aac5324412245dcce0bc,5.47e-06,9133.56666175,0.00384208,670347,670347,2025-06-19 17:08:06.203825,47177.0,0.25805819,buy,5.988898097068187e-08,2021-02-13
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2021-02-19 17:09:12,2021-02-19 17:09:12,8ce6411b5bcb265a42a79e7da75e6f7bfaf36ca89a6670ff02e5f82da7c41560,0.1,9133.66666175,0.00068952,671297,671297,2025-06-19 17:08:06.203825,55847.0,5584.700000000001,buy,0.0010948505534888891,2021-02-19
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,15.0,2021-03-01 11:09:08,2021-03-01 11:09:08,79f6f370fdff5b35bbf2e09ccdfad7e34842f7c9ef8fa85af314dd18778d5c10,5.47e-06,9133.66666722,0.00581334,672685,672685,2025-06-19 17:08:06.203825,49572.0,0.27115884,buy,5.988832523997611e-08,2021-03-01
