wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-03-23 01:32:33,2024-03-23 01:32:33,3ca2188e9805310b0cc9d57b2fb800efeb74a6eeb6f616bac864f887fe4e74c1,78317.0346246,78317.0346246,2.688e-05,835855,835855,2025-07-25 21:20:40.641951,64069.0,5017694091.363497,buy,100.0,2024-03-23
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-03-25 06:20:01,2024-03-25 06:20:01,49961014df6727d1495b0ba486648566e8da0bc12d92eb412e3c3a6cf8724d5d,5.46e-06,78317.03463006,1.592e-05,836211,836211,2025-07-25 21:20:40.641951,69824.0,0.38123904000000003,buy,6.9716633498586494e-09,2024-03-25
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-03-27 18:05:09,2024-03-27 18:05:09,9f7605f2464be482cfc825e0889760d645383d76548dc6e7cde2cf5ebc194958,0.00014519,78317.03477525,0.00046288,836536,836536,2025-07-25 21:20:40.641951,69467.0,10.085913730000001,buy,1.8538750913726297e-07,2024-03-27
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-03-28 20:06:55,2024-03-28 20:06:55,477586a8a7f02b54e3562ef42e538e4311228907291860f7484cc05127290b10,1.558e-05,78317.03479083,5.424e-05,836710,836710,2025-07-25 21:20:40.641951,70776.0,1.10269008,buy,1.9893500873227946e-08,2024-03-28
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-05-09 13:13:15,2024-05-09 13:13:15,06e1983430ec675ee2e379c29c017698624072bec8494e74d475452bc909f0f2,5.46e-06,78317.03479629,3.762e-05,843051,843051,2025-07-25 21:20:40.641951,63209.0,0.34512114,buy,6.971663335061108e-09,2024-05-09
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-05-14 02:53:22,2024-05-14 02:53:22,867ec8ba5bd8f252ba9679f3602722143e7d4500bd6e46018495123f71c32ca9,5.46e-06,78317.03480175,2.288e-05,843385,843385,2025-07-25 21:20:40.641951,61668.0,0.33670728,buy,6.971663334575068e-09,2024-05-14
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-06-06 01:24:10,2024-06-06 01:24:10,9b2f389b476eef251d4f01fd18b703e4ae7698621edfff272fe6e2c1f1bbaadf,0.00018587,78317.03498762,5.613e-05,846685,846685,2025-07-25 21:20:40.641951,70836.0,13.16628732,buy,2.373302309381113e-07,2024-06-06
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-06-17 16:49:38,2024-06-17 16:49:38,76e16271c99a39391b1f4d0b714583f2ffe5c169093d001bb0a36f45d0e0bddd,5.46e-06,78317.03499308,8.82e-06,851013,851013,2025-07-25 21:20:40.641951,66570.0,0.3634722,buy,6.971663317543162e-09,2024-06-17
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-07-17 01:23:40,2024-07-17 01:23:40,b46003d3d98f8ee21d16d78971ce5ef60847fada40cdff7c6c369e2cbb5cbf55,3.3e-06,78317.03499638,8.15e-06,852535,852535,2025-07-25 21:20:40.641951,64204.0,0.2118732,buy,4.213642664271617e-09,2024-07-17
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1.0,2024-07-23 19:09:31,2024-07-23 19:09:31,e5b2e1abaccd113accf136fa91a910291c9e3e78e3f64781e746dc304d88ded8,5.47e-06,78317.03500185,3.285e-05,853605,853605,2025-07-25 21:20:40.641951,66101.0,0.36157247000000003,buy,6.984431930895734e-09,2024-07-23
