wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:18:22,ae1a0f5531521d728f438863842ea385898977297b5c129804d19f0e511241c1,0.001,0.001,8.46e-06,860173,2025-02-08 16:31:33.835841,54133.0,54.133,buy,100.0
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:24:09,c1a26e87abf0a549913ca7f0009c6c1f650294ec62a1c0884345292c81211b51,625.22842267,2625.22942267,1.003e-05,860176,2025-02-08 16:31:33.835841,54133.0,33845490.20439511,buy,23.81614411566776
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:24:09,44d2d762d88153a0849855955e7ce8c488d36f99617a153ad77f39a54bfa22b2,1000.0,1000.001,2.892e-05,860176,2025-02-08 16:31:33.835841,54133.0,54133000.0,buy,99.99990000010001
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:24:09,2a7b5e736f9895a39bdf295e6f2b649ad28440169d1f0cb43e170b57774b998a,1000.0,2000.001,6.77e-06,860176,2025-02-08 16:31:33.835841,54133.0,54133000.0,buy,49.999975000012505
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:24:43,3ec856432ca3ba6583d309d046b082959d7734f4f27418855062d7d9e988c19d,1000.0,3625.22942267,2.473e-05,860177,2025-02-08 16:31:33.835841,54133.0,54133000.0,buy,27.584461103250536
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:30:56,7e62ce8638e860d12dbd8bb1f664d421f221be6495c334a38362bc1a2feaea56,1000.0,4625.22942267,1.246e-05,860178,2025-02-08 16:31:33.835841,54133.0,54133000.0,buy,21.620549136408705
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-06 17:30:56,cda0bcbc19c7c6784345154a72a88e8986d4454b0f8a55a541463f4a38f9caea,300.0,4925.22942267,5.08e-06,860178,2025-02-08 16:31:33.835841,54133.0,16239900.0,buy,6.091086815553213
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-09 14:38:16,08ea0f88ed84650a1e08d66598bf776832ebded72259d1d5aad1a62dd52ce18b,3300.00887804,12925.23579153,2.362e-05,860625,2025-02-08 16:31:33.835841,57110.0,188463507.0248644,buy,25.531517809543715
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-09 14:44:55,ee1c90678e9a354c6bb08aff4e83e8d67dc2384643cdf347432672e9edc3b1ec,799.98194092,15067.2149237,8.86e-06,860625,2025-02-08 16:31:33.835841,57110.0,45686968.645941205,buy,5.30942144896113
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-09 14:44:55,1977a6ba7871f00dd3ff2f1c00cb876f92b646a52d032bce786fe46f2298b8e6,4699.99749082,9625.22691349,3.1e-05,860625,2025-02-08 16:31:33.835841,57110.0,268416856.7007302,buy,48.82999157383848
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-09 14:44:55,eb04a1a2ba80dc3841df14fe5d42204b9312abffd639dd76979bbacbdfd46ada,1341.99719125,14267.23298278,1.868e-05,860625,2025-02-08 16:31:33.835841,57110.0,76641459.5922875,buy,9.406148990976309
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-09 17:19:09,b6a75c7f4a95690d85d82bde4ed0e130f4d2d84847b998bf16888e80426ed9ab,22.81847495,15090.03339865,1.476e-05,860643,2025-02-08 16:31:33.835841,57110.0,1303163.1043945,buy,0.15121553642181737
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-10 14:33:35,8873a4ac600221de9aac84f9abf063f298431b24f3db6db538c8c53f45d94978,3915.12335245,19005.1567511,1.771e-05,860762,2025-02-08 16:31:33.835841,57758.0,226129694.59080708,buy,20.60032129029084
