Date,Price,Open,High,Low,Vol.,Change %
2012-02-02,6.1,6.1,6.1,6.1,,
2012-02-03,6.0,6.0,6.0,6.0,,-1.6393442622950727
2012-02-04,5.9,5.9,5.9,5.9,,-1.6666666666666607
2012-02-05,5.7,5.7,5.7,5.7,,-3.3898305084745783
2012-02-06,5.4,5.4,5.4,5.4,,-5.263157894736836
2012-02-07,5.7,5.7,5.7,5.7,,5.555555555555558
2012-02-08,5.6,5.6,5.6,5.6,,-1.7543859649122862
2012-02-09,5.8,5.8,5.8,5.8,,3.571428571428581
2012-02-10,5.9,5.9,5.9,5.9,,1.7241379310344973
2012-02-11,5.6,5.6,5.6,5.6,,-5.084745762711873
2012-02-12,5.5,5.5,5.5,5.5,,-1.7857142857142794
2012-02-13,5.3,5.3,5.3,5.3,,-3.6363636363636376
2012-02-14,4.5,4.5,4.5,4.5,,-15.094339622641506
2012-02-15,4.3,4.3,4.3,4.3,,-4.444444444444451
2012-02-16,4.3,4.3,4.3,4.3,,0.0
2012-02-17,4.4,4.4,4.4,4.4,,2.3255813953488413
2012-02-18,4.2,4.2,4.2,4.2,,-4.545454545454552
2012-02-19,4.4,4.4,4.4,4.4,,4.761904761904767
2012-02-20,4.4,4.4,4.4,4.4,,0.0
2012-02-21,4.3,4.3,4.3,4.3,,-2.272727272727282
2012-02-22,4.4,4.4,4.4,4.4,,2.3255813953488413
2012-02-23,5.0,5.0,5.0,5.0,,13.636363636363624
2012-02-24,5.0,5.0,5.0,5.0,,0.0
2012-02-25,4.8,4.8,4.8,4.8,,-4.0000000000000036
2012-02-26,4.9,4.9,4.9,4.9,,2.083333333333348
2012-02-27,5.0,5.0,5.0,5.0,,2.0408163265306145
2012-02-28,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-02-29,4.9,4.9,4.9,4.9,,0.0
2012-03-01,4.9,4.9,4.9,4.9,,0.0
2012-03-02,4.7,4.7,4.7,4.7,,-4.081632653061229
2012-03-03,4.6,4.6,4.6,4.6,,-2.1276595744680993
2012-03-04,4.8,4.8,4.8,4.8,,4.347826086956519
2012-03-05,5.0,5.0,5.0,5.0,,4.166666666666674
2012-03-06,5.0,5.0,5.0,5.0,,0.0
2012-03-07,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-03-08,4.9,4.9,4.9,4.9,,0.0
2012-03-09,4.9,4.9,4.9,4.9,,0.0
2012-03-10,4.8,4.8,4.8,4.8,,-2.0408163265306256
2012-03-11,4.9,4.9,4.9,4.9,,2.083333333333348
2012-03-12,4.9,4.9,4.9,4.9,,0.0
2012-03-13,5.3,5.3,5.3,5.3,,8.163265306122437
2012-03-14,5.4,5.4,5.4,5.4,,1.8867924528301883
2012-03-15,5.3,5.3,5.3,5.3,,-1.85185185185186
2012-03-16,5.3,5.3,5.3,5.3,,0.0
2012-03-17,5.2,5.2,5.2,5.2,,-1.8867924528301772
2012-03-18,5.3,5.3,5.3,5.3,,1.9230769230769162
2012-03-19,4.7,4.7,4.7,4.7,,-11.32075471698113
2012-03-20,4.8,4.8,4.8,4.8,,2.127659574468077
2012-03-21,4.8,4.8,4.8,4.8,,0.0
2012-03-22,4.7,4.7,4.7,4.7,,-2.083333333333326
2012-03-23,4.7,4.7,4.7,4.7,,0.0
2012-03-24,4.7,4.7,4.7,4.7,,0.0
2012-03-25,4.6,4.6,4.6,4.6,,-2.1276595744680993
2012-03-26,4.6,4.6,4.6,4.6,,0.0
2012-03-27,4.8,4.8,4.8,4.8,,4.347826086956519
2012-03-28,4.8,4.8,4.8,4.8,,0.0
2012-03-29,4.8,4.8,4.8,4.8,,0.0
2012-03-30,4.9,4.9,4.9,4.9,,2.083333333333348
2012-03-31,4.9,4.9,4.9,4.9,,0.0
2012-04-01,4.8,4.8,4.8,4.8,,-2.0408163265306256
2012-04-02,5.0,5.0,5.0,5.0,,4.166666666666674
2012-04-03,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-04-04,4.9,4.9,4.9,4.9,,0.0
2012-04-05,4.9,4.9,4.9,4.9,,0.0
2012-04-06,4.9,4.9,4.9,4.9,,0.0
2012-04-07,4.7,4.7,4.7,4.7,,-4.081632653061229
2012-04-08,4.8,4.8,4.8,4.8,,2.127659574468077
2012-04-09,4.9,4.9,4.9,4.9,,2.083333333333348
2012-04-10,4.8,4.8,4.8,4.8,,-2.0408163265306256
2012-04-11,4.9,4.9,4.9,4.9,,2.083333333333348
2012-04-12,4.9,4.9,4.9,4.9,,0.0
2012-04-13,4.9,4.9,4.9,4.9,,0.0
2012-04-14,5.0,5.0,5.0,5.0,,2.0408163265306145
2012-04-15,5.0,5.0,5.0,5.0,,0.0
2012-04-16,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-04-17,5.0,5.0,5.0,5.0,,2.0408163265306145
2012-04-18,5.1,5.1,5.1,5.1,,2.0000000000000018
2012-04-19,5.1,5.1,5.1,5.1,,0.0
2012-04-20,5.3,5.3,5.3,5.3,,3.9215686274509887
2012-04-21,5.3,5.3,5.3,5.3,,0.0
2012-04-22,5.2,5.2,5.2,5.2,,-1.8867924528301772
2012-04-23,5.0,5.0,5.0,5.0,,-3.8461538461538547
2012-04-24,5.1,5.1,5.1,5.1,,2.0000000000000018
2012-04-25,5.1,5.1,5.1,5.1,,0.0
2012-04-26,5.1,5.1,5.1,5.1,,0.0
2012-04-27,5.1,5.1,5.1,5.1,,0.0
2012-04-28,5.0,5.0,5.0,5.0,,-1.9607843137254832
2012-04-29,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-04-30,4.9,4.9,4.9,4.9,,0.0
2012-05-01,5.0,5.0,5.0,5.0,,2.0408163265306145
2012-05-02,5.1,5.1,5.1,5.1,,2.0000000000000018
2012-05-03,5.1,5.1,5.1,5.1,,0.0
2012-05-04,5.1,5.1,5.1,5.1,,0.0
2012-05-05,5.1,5.1,5.1,5.1,,0.0
2012-05-06,5.1,5.1,5.1,5.1,,0.0
2012-05-07,5.1,5.1,5.1,5.1,,0.0
2012-05-08,5.1,5.1,5.1,5.1,,0.0
2012-05-09,5.0,5.0,5.0,5.0,,-1.9607843137254832
2012-05-10,4.8,4.8,4.8,4.8,,-4.0000000000000036
2012-05-11,5.0,5.0,5.0,5.0,,4.166666666666674
2012-05-12,4.9,4.9,4.9,4.9,,-1.9999999999999907
2012-05-13,4.9,4.9,4.9,4.9,,0.0
2012-05-14,5.0,5.0,5.0,5.0,,2.0408163265306145
2012-05-15,5.0,5.0,5.0,5.0,,0.0
2012-05-16,5.1,5.1,5.1,5.1,,2.0000000000000018
2012-05-17,5.1,5.1,5.1,5.1,,0.0
2012-05-18,5.1,5.1,5.1,5.1,,0.0
2012-05-19,5.1,5.1,5.1,5.1,,0.0
2012-05-20,5.1,5.1,5.1,5.1,,0.0
2012-05-21,5.1,5.1,5.1,5.1,,0.0
2012-05-22,5.1,5.1,5.1,5.1,,0.0
2012-05-23,5.1,5.1,5.1,5.1,,0.0
2012-05-24,5.1,5.1,5.1,5.1,,0.0
2012-05-25,5.2,5.2,5.2,5.2,,1.9607843137255054
2012-05-26,5.1,5.1,5.1,5.1,,-1.9230769230769384
2012-05-27,5.1,5.1,5.1,5.1,,0.0
2012-05-28,5.1,5.1,5.1,5.1,,0.0
2012-05-29,5.2,5.2,5.2,5.2,,1.9607843137255054
2012-05-30,5.1,5.1,5.1,5.1,,-1.9230769230769384
2012-05-31,5.2,5.2,5.2,5.2,,1.9607843137255054
2012-06-01,5.3,5.3,5.3,5.3,,1.9230769230769162
2012-06-02,5.3,5.3,5.3,5.3,,0.0
2012-06-03,5.2,5.2,5.2,5.2,,-1.8867924528301772
2012-06-04,5.3,5.3,5.3,5.3,,1.9230769230769162
2012-06-05,5.4,5.4,5.4,5.4,,1.8867924528301883
2012-06-06,5.5,5.5,5.5,5.5,,1.8518518518518379
2012-06-07,5.6,5.6,5.6,5.6,,1.8181818181818077
2012-06-08,5.6,5.6,5.6,5.6,,0.0
2012-06-09,5.6,5.6,5.6,5.6,,0.0
2012-06-10,5.5,5.5,5.5,5.5,,-1.7857142857142794
2012-06-11,5.6,5.6,5.6,5.6,,1.8181818181818077
2012-06-12,5.7,5.7,5.7,5.7,,1.7857142857143016
2012-06-13,5.9,5.9,5.9,5.9,,3.5087719298245723
2012-06-14,5.9,5.9,5.9,5.9,,0.0
2012-06-15,6.5,6.5,6.5,6.5,,10.169491525423723
2012-06-16,6.4,6.4,6.4,6.4,,-1.538461538461533
2012-06-17,6.2,6.2,6.2,6.2,,-3.125
2012-06-18,6.3,6.3,6.3,6.3,,1.6129032258064502
2012-06-19,6.5,6.5,6.5,6.5,,3.1746031746031855
2012-06-20,6.7,6.7,6.7,6.7,,3.076923076923088
2012-06-21,6.7,6.7,6.7,6.7,,0.0
2012-06-22,6.6,6.6,6.6,6.6,,-1.4925373134328401
2012-06-23,6.4,6.4,6.4,6.4,,-3.0303030303030165
2012-06-24,6.3,6.3,6.3,6.3,,-1.562500000000011
2012-06-25,6.3,6.3,6.3,6.3,,0.0
2012-06-26,6.4,6.4,6.4,6.4,,1.5873015873016039
2012-06-27,6.7,6.7,6.7,6.7,,4.6875
2012-06-28,6.6,6.6,6.6,6.6,,-1.4925373134328401
2012-06-29,6.7,6.7,6.7,6.7,,1.5151515151515138
2012-06-30,6.7,6.7,6.7,6.7,,0.0
2012-07-01,6.6,6.6,6.6,6.6,,-1.4925373134328401
2012-07-02,6.8,6.8,6.8,6.8,,3.0303030303030276
2012-07-03,6.4,6.4,6.4,6.4,,-5.88235294117646
2012-07-04,6.5,6.5,6.5,6.5,,1.5625
2012-07-05,6.7,6.7,6.7,6.7,,3.076923076923088
2012-07-06,6.7,6.7,6.7,6.7,,0.0
2012-07-07,6.8,6.8,6.8,6.8,,1.4925373134328401
2012-07-08,6.8,6.8,6.8,6.8,,0.0
2012-07-09,7.0,7.0,7.0,7.0,,2.941176470588247
2012-07-10,7.2,7.2,7.2,7.2,,2.857142857142869
2012-07-11,7.2,7.2,7.2,7.2,,0.0
2012-07-12,7.8,7.8,7.8,7.8,,8.333333333333325
2012-07-13,7.7,7.7,7.7,7.7,,-1.2820512820512775
2012-07-14,7.5,7.5,7.5,7.5,,-2.5974025974025983
2012-07-15,7.6,7.6,7.6,7.6,,1.3333333333333197
2012-07-16,8.5,8.5,8.5,8.5,,11.842105263157897
2012-07-17,8.8,8.8,8.8,8.8,,3.529411764705892
2012-07-18,9.1,9.1,9.1,9.1,,3.409090909090895
2012-07-19,8.9,8.9,8.9,8.9,,-2.19780219780219
2012-07-20,8.5,8.5,8.5,8.5,,-4.49438202247191
2012-07-21,8.9,8.9,8.9,8.9,,4.705882352941182
2012-07-22,8.4,8.4,8.4,8.4,,-5.61797752808989
2012-07-23,8.4,8.4,8.4,8.4,,0.0
2012-07-24,8.6,8.6,8.6,8.6,,2.3809523809523725
2012-07-25,8.8,8.8,8.8,8.8,,2.3255813953488413
2012-07-26,8.9,8.9,8.9,8.9,,1.1363636363636243
2012-07-27,8.9,8.9,8.9,8.9,,0.0
2012-07-28,8.9,8.9,8.9,8.9,,0.0
2012-07-29,8.7,8.7,8.7,8.7,,-2.2471910112359716
2012-07-30,9.1,9.1,9.1,9.1,,4.597701149425282
2012-07-31,9.4,9.4,9.4,9.4,,3.296703296703307
2012-08-01,9.6,9.6,9.6,9.6,,2.127659574468077
2012-08-02,10.5,10.5,10.5,10.5,,9.375
2012-08-03,11.0,11.0,11.0,11.0,,4.761904761904767
2012-08-04,11.0,11.0,11.0,11.0,,0.0
2012-08-05,10.9,10.9,10.9,10.9,,-0.9090909090909038
2012-08-06,10.9,10.9,10.9,10.9,,0.0
2012-08-07,11.1,11.1,11.1,11.1,,1.83486238532109
2012-08-08,11.1,11.1,11.1,11.1,,0.0
2012-08-09,11.1,11.1,11.1,11.1,,0.0
2012-08-10,11.4,11.4,11.4,11.4,,2.7027027027027195
2012-08-11,11.5,11.5,11.5,11.5,,0.8771929824561431
2012-08-12,11.6,11.6,11.6,11.6,,0.8695652173912993
2012-08-13,12.0,12.0,12.0,12.0,,3.4482758620689724
2012-08-14,12.2,12.2,12.2,12.2,,1.6666666666666607
