hash,ver,vin_sz,vout_sz,size,weight,fee,relayed_by,lock_time,tx_index,double_spend,time,block_index,block_height,inputs,out,result,balance
bf86048316c5a910af070568082a55fd0d61e8a2c736fba82a7239f672760c3b,2,1,1,321,570,286,0.0.0.0,0,2077590812542766,False,1736331416,878427,878427,"[{'sequence': 4294967295, 'witness': '034020139645d9e51fd2d70bb5430344daff4de48470fd216ae13ed4b72c1fd96678b3fca184497aaf65670c793e393a09d5c5b5615cc7985c13c123a56b202adceb87209a48022bbff208a02c1934ea083cf6ac31f02dde49724252e585dac91318c3b7ac0063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800417b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22f096b999222c22616d74223a223134393539393635303137302e373639227d6821c19a48022bbff208a02c1934ea083cf6ac31f02dde49724252e585dac91318c3b7', 'script': '', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 832, 'spending_outpoints': [{'tx_index': 2077590812542766, 'n': 0}], 'n': 129, 'tx_index': 2214167251729481, 'script': '5120d9a4b75a25f90015fbbcfb4d197671c1bb00f11f922279fa098fa0291de3b413', 'addr': 'bc1pmxjtwk39lyqpt7auldx3jan3cxaspugljg38n7sf37szj80rksfs0ctmu3'}}]","[{'type': 0, 'spent': False, 'value': 546, 'spending_outpoints': [], 'n': 0, 'tx_index': 2077590812542766, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}]",546,2613938434368
304322b2c746cf66aa1676029d7c5bcf53ea039e04740872a73ab1d801459649,1,1,2,248,662,996,0.0.0.0,0,2589112053470759,False,1736268271,878248,878248,"[{'sequence': 4294967295, 'witness': '024830450221009b5aabe2ee39f0f92280e0fd213b32db4921eb09ddcb259eda9e0d5f73a13b89022051e2ad2e0971025c4f5ec4d78a5256c188122e9d3b1f05c20bcab47a76ebc9f301210327630b04a4e615627e44d00f2d8b14c636a82d1821b8ff73af827f594a5d9d6a', 'script': '1600143b8499c8c6933933d9659c38dbc2141076b3b90e', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 2613937556817, 'spending_outpoints': [{'tx_index': 2589112053470759, 'n': 0}], 'n': 1, 'tx_index': 4729971413231575, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}}]","[{'type': 0, 'spent': False, 'value': 13100, 'spending_outpoints': [], 'n': 0, 'tx_index': 2589112053470759, 'script': 'a914739fe896ad67294898d1215eab6a18661eeb61dd87', 'addr': '3CEPCFAXw1ny5o8uRTWdvpekcJU1tYo6t2'}, {'type': 0, 'spent': False, 'value': 2613937542721, 'spending_outpoints': [], 'n': 1, 'tx_index': 2589112053470759, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}]",-14096,2613938433822
4365ef28a52250f56520c578dc899af9d8b95ad0b3c2c2bab2e192747441f343,2,1,1,306,555,278,0.0.0.0,0,2390785736479324,False,1735545129,877017,877017,"[{'sequence': 4294967295, 'witness': '03405e4b674c9688ef5e4dbfdde80b871faaf4af860deb512f4a9c02b62f8790cee28d5d8b80e2e65e313e56b056cceb9a56330494f8e92a8f7b1d12b11e906bb56e78208ff1f0ab031026719a012c362970de636ab0efc27790bc4428bc8e52d511f551ac0063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800327b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22f096a591222c22616d74223a2231227d6821c18ff1f0ab031026719a012c362970de636ab0efc27790bc4428bc8e52d511f551', 'script': '', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 824, 'spending_outpoints': [{'tx_index': 2390785736479324, 'n': 0}], 'n': 29, 'tx_index': 5672303711991658, 'script': '51207b4836b2edf3798b391cccd5ec58e832d494fe5445f12bb7ff528e3fbe63496c', 'addr': 'bc1p0dyrdvhd7duckwguen27ck8gxt2fflj5ghcjhdll228rl0nrf9kqlceyqu'}}]","[{'type': 0, 'spent': False, 'value': 546, 'spending_outpoints': [], 'n': 0, 'tx_index': 2390785736479324, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}]",546,2613938447918
9954c9c41f53d96c7c32b100aafd269513368b4055ef7fc9b6621601aa2fdf59,2,2,2,371,836,627,0.0.0.0,0,3162083591987916,False,1735214260,876446,876446,"[{'sequence': 2147483649, 'witness': '02473044022010e5918eeb75aa1e90917ad6276a2a05a12fc2be25b3512552b9aa951779da6a02203641fede1a583ac0631e30b35d480a68ea42534f46ae656e9f0b5db1d1552727012103c7b3fd678acb159a069aecdb26f7497b19fe80f28b6927a1e7cf54e1565296fd', 'script': '', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 330, 'spending_outpoints': [{'tx_index': 3162083591987916, 'n': 0}], 'n': 0, 'tx_index': 1766732517283210, 'script': '0014b236a65a5a716b445e1beb58f658646960a3d3d7', 'addr': 'bc1qkgm2vkj6w945ghsmadv0vkryd9s2857h9tsdpx'}}, {'sequence': 2147483649, 'witness': '0247304402206103fefadeffedc167c7d9c43838a016209e668db016ed65ac3791ced12d2a8902201591ec9c34d405b72d6dc6a34fe0b48345c89fc0c7eebba97ff08b663c5b10fb012103c7b3fd678acb159a069aecdb26f7497b19fe80f28b6927a1e7cf54e1565296fd', 'script': '', 'index': 1, 'prev_out': {'type': 0, 'spent': True, 'value': 2796, 'spending_outpoints': [{'tx_index': 3162083591987916, 'n': 1}], 'n': 1, 'tx_index': 3108667082717162, 'script': '0014b236a65a5a716b445e1beb58f658646960a3d3d7', 'addr': 'bc1qkgm2vkj6w945ghsmadv0vkryd9s2857h9tsdpx'}}]","[{'type': 0, 'spent': False, 'value': 546, 'spending_outpoints': [], 'n': 0, 'tx_index': 3162083591987916, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}, {'type': 0, 'spent': True, 'value': 1953, 'spending_outpoints': [{'tx_index': 684899659849086, 'n': 1}], 'n': 1, 'tx_index': 3162083591987916, 'script': '0014b236a65a5a716b445e1beb58f658646960a3d3d7', 'addr': 'bc1qkgm2vkj6w945ghsmadv0vkryd9s2857h9tsdpx'}]",546,2613938447372
6af107c7b38bb9dfb778d8ab404b0f4a09bc09768bc9eb9cc3d5a6d10e76b8c0,2,1,4,309,909,474,0.0.0.0,0,6780751590339802,False,1735129718,876315,876315,"[{'sequence': 4294967293, 'witness': '0247304402200da6f5c581962d3a83dd4f795f3439ca79bcc72e55b88cb2872b3eadd0e4331c02203036f37a95443054f71f32bfed00f0813a791a2f48e65e460bf773407e35c3f6012102be559a5a88b3c1c76b9aa691febfd9dde7c3717c42c4111a5c1ff3e18e8f3561', 'script': '', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 156130, 'spending_outpoints': [{'tx_index': 6780751590339802, 'n': 0}], 'n': 1, 'tx_index': 4685486308890137, 'script': '00140712eae76f786a119e0a3727d39e3f256522ac19', 'addr': 'bc1qqufw4em00p4pr8s2xuna883ly4jj9tqer808c5'}}]","[{'type': 0, 'spent': False, 'value': 547, 'spending_outpoints': [], 'n': 0, 'tx_index': 6780751590339802, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}, {'type': 0, 'spent': True, 'value': 154449, 'spending_outpoints': [{'tx_index': 7068142874434482, 'n': 0}], 'n': 1, 'tx_index': 6780751590339802, 'script': '00140712eae76f786a119e0a3727d39e3f256522ac19', 'addr': 'bc1qqufw4em00p4pr8s2xuna883ly4jj9tqer808c5'}, {'type': 0, 'spent': False, 'value': 330, 'spending_outpoints': [], 'n': 2, 'tx_index': 6780751590339802, 'script': '0020003c7374616d703a7b2270223a227372632d3230222c226f70223a227472616e', 'addr': 'bc1qqq78xarpd4cr57ezwq3r5gnnwf3j6v3sygkzymmsygazyarjv9hq0r4hhc'}, {'type': 0, 'spent': False, 'value': 330, 'spending_outpoints': [], 'n': 3, 'tx_index': 6780751590339802, 'script': '002073666572222c227469636b223a227374616d70222c22616d74223a31307d0000', 'addr': 'bc1qwdnx2u3z9s38g6trdv3r5gnnw3sk6upz9s3xzmt5ygarzvraqqqqhx9lkg'}]",547,2613938446826
3fa9b6d97bd32e64429e2ba3c382ed5dfe3da16cf71a4a2bff3f3d3399a63710,2,3,2,521,1109,1662,0.0.0.0,0,570598537717671,False,1734705185,875603,875603,"[{'sequence': 2147483649, 'witness': '02483045022100e2cf46ced447fc9450dc8927c2fa7df7bbd4b84e4f4db41317c15b3d47cc3c9302202323dbc05854076baae51c15461bd16afe8aba87595954e923d0e0e2689fb996012102c20c1d69e47f2cf20ffd522e62cafb207d77fc33ff20bed0cdce47d9f8167368', 'script': '', 'index': 0, 'prev_out': {'type': 0, 'spent': True, 'value': 330, 'spending_outpoints': [{'tx_index': 570598537717671, 'n': 0}], 'n': 0, 'tx_index': 6784639939766102, 'script': '0014905520ca4bb83ea2be174392e0137786b9d04168', 'addr': 'bc1qjp2jpjjthql290shgwfwqymhs6uaqstgr6m30z'}}, {'sequence': 2147483649, 'witness': '02483045022100e7417f2341528bccbcc41acd040bb94944d1e8da9e95dabf5438843269ef73d602201a4b918171215bbcdffa5a1dca05ff5a066256dd62cb614cfedb58f6d0cc5931012102c20c1d69e47f2cf20ffd522e62cafb207d77fc33ff20bed0cdce47d9f8167368', 'script': '', 'index': 1, 'prev_out': {'type': 0, 'spent': True, 'value': 1286, 'spending_outpoints': [{'tx_index': 570598537717671, 'n': 1}], 'n': 1, 'tx_index': 4053162828318354, 'script': '0014905520ca4bb83ea2be174392e0137786b9d04168', 'addr': 'bc1qjp2jpjjthql290shgwfwqymhs6uaqstgr6m30z'}}, {'sequence': 2147483649, 'witness': '02473044022028de39ef945707854b41dd29b665df4866dd5d5715565d14c8a991b951d54e5202203ba5266a0c2fa3731fc9834becbf496b4f4308f5ec1c7c04d4cdcb7d257a4282012102c20c1d69e47f2cf20ffd522e62cafb207d77fc33ff20bed0cdce47d9f8167368', 'script': '', 'index': 2, 'prev_out': {'type': 0, 'spent': True, 'value': 8536, 'spending_outpoints': [{'tx_index': 570598537717671, 'n': 2}], 'n': 1, 'tx_index': 2549832378040714, 'script': '0014905520ca4bb83ea2be174392e0137786b9d04168', 'addr': 'bc1qjp2jpjjthql290shgwfwqymhs6uaqstgr6m30z'}}]","[{'type': 0, 'spent': False, 'value': 546, 'spending_outpoints': [], 'n': 0, 'tx_index': 570598537717671, 'script': 'a9145749951378aa74b802465243051f2b870ff0a5a187', 'addr': '39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw'}, {'type': 0, 'spent': True, 'value': 7944, 'spending_outpoints': [{'tx_index': 794831803278217, 'n': 1}], 'n': 1, 'tx_index': 570598537717671, 'script': '0014905520ca4bb83ea2be174392e0137786b9d04168', 'addr': 'bc1qjp2jpjjthql290shgwfwqymhs6uaqstgr6m30z'}]",546,2613938446279
